Horror Wiki Index,char index,actor,character,stripped character
478,2,Marcus Gilbert,Lord Arthur,lord arthur
478,3,Ian Abercrombie,Wise Man,wise man
478,4,Richard Grove,Duke Henry the Red,duke henry red
478,5,Timothy Patrick Quill,Blacksmith,blacksmith
478,6,Michael Earl Reid,Gold Tooth,gold tooth
478,7,Bridget Fonda,Linda,linda
478,8,Patricia Tallman,Possessed witch,possessed witch
478,9,Ted Raimi,Cowardly warrior/Second supportive villager/Anthony,cowardly warrior second supportive villager anthony
1042,0,Perdita Weeks,Scarlett Marlowe,scarlett marlowe
1042,1,Ben Feldman,George,george
1042,2,Edwin Hodge,Benji,benji
1042,3,François Civil,Papillon,papillon
1042,4,Marion Lambert,Souxie,souxie
1042,5,Ali Marhyar,Zed,zed
1042,6,Cosme Castro,La Taupe,la taupe
1042,7,Hamid Djavadan,Reza,reza
1042,8,Théo Cholbi,Gloomy Teenager,gloomy teenager
1042,9,Emy Lévy,Tour Guide,tour guide
1042,10,Roger Van Hool,Mr. Marlowe,mr marlowe
1042,11,Olivia Csiky Trnka,Strange Young Woman,strange young woman
1042,12,Hellyette Bess,Strange Old Woman,strange old woman
1042,13,Aryan Rahimian,Iranian Armed Guard,iranian armed guard
1042,14,Samuel Aouizerate,Danny,danny
1042,15,Kaya Blocksage,Female Curator,female curator
1043,0,Naya Rivera,Vera,vera
1043,1,Catalina Sandino Moreno,Leigh,leigh
1043,2,Ashley Rickards,Hannah,hannah
1043,3,Ava Acres,Girl,girl
1043,4,Michael Massee,Uncle Mike,uncle mike
1043,5,Wyatt Russell,Sam,sam
1043,6,Nick Eversman,Calvin,calvin
1043,7,Tara Buck,Yolanda,yolanda
1043,8,Bresha Webb,Becky,becky
1043,9,Olivia Crocicchia,Charlene,charlene
1043,10,Jennifer Aspen,Lori,lori
1043,11,Daniel Roebuck,Chuck,chuck
1043,12,Arshad Aslam,Seth,seth
1043,13,Rob Brownstein,Dr. Daninsky,dr daninsky
1043,14,Laura Kai Chen,Dr. Kim,dr kim
1043,15,Assaf Cohen,Dr. Aranda,dr aranda
1043,16,Kent Faulcon,Davis,davis
1043,17,Kate Flannery,Rosemary,rosemary
1043,19,Mark Steger,Thin Man,thin man
1043,20,Kelsey Heller,Young Lori,young lori
1096,0,Rachele Brooke Smith,Gina,gina
1096,1,David Faustino,Fletcher,fletcher
1096,2,Adam Ambruso,Reese,reese
95,0,Marsha Mason,Janice Templeton,janice templeton
95,1,Anthony Hopkins,Elliot Hoover,elliot hoover
95,2,John Beck,Bill Templeton,bill templeton
95,3,Susan Swift,Ivy Templeton/Audrey Rose,ivy templeton audrey rose
95,4,Norman Lloyd,Dr. Steven Lipscomb,dr steven lipscomb
95,5,John Hillerman,Prosecutor Scott Velie,prosecutor scott velie
95,6,Robert Walden,Brice Mack,brice mack
52,0,Leslie Lee,Lisa,lisa
52,1,Jack Canon,Steele,steele
52,2,Ray Green,Lomax,lomax
52,3,Frederick R. Friedel,Billy,billy
52,4,Douglas Powers,Grandfather,grandfather
52,5,Frank Jones,Aubrey,aubrey
52,6,Carol Miller,Storewoman,storewoman
52,7,George J. Monaghan,Harold,harold
52,8,Hart Smith,Detective,detective
52,9,Scott Smith,Policeman,policeman
1014,0,Mc Jones,George Bayin,george bayin
1014,1,Patrick Bradford,Kyle Mord,kyle mord
1014,2,Ken Johnson,Nat Darvis,nat darvis
1014,3,Liam Dolan,General Sean Monter,general sean monter
1014,4,Grant Holocomb,Sheriff Jay Willan,sheriff jay willan
1014,5,Steven Moore,the Museum Guard,museum guard
1014,6,Mark Banning,Soilder #1,soilder 1
1155,0,Samara Weaving,Bee,bee
1155,1,Judah Lewis,Cole Johnson,cole johnson
1155,2,Hana Mae Lee,Sonya,sonya
1155,3,Robbie Amell,Max,max
1155,4,Bella Thorne,Allison,allison
1155,5,Andrew Bachelor,John,john
1155,6,Emily Alyn Lind,Melanie,melanie
1155,7,Leslie Bibb,Mom,mom
1155,8,Ken Marino,Dad,dad
1155,9,Doug Haley,Samuel,samuel
1155,10,Miles J. Harvey,Jeremy,jeremy
1155,11,Chris Wylde,Melanie's annoying father,melanies annoying father
1155,12,Ron Funches,Mr. Davis,mr davis
534,0,Michael Paré,Uncle Ted,uncle ted
534,1,Mason Gamble,Brett Harrison,brett harrison
534,2,Mariel Hemingway,Janet Harrison,janet harrison
534,3,Ken Pogue,Sheriff Jenson,sheriff jenson
534,4,Hrothgar Mathews,Flopsy,flopsy
534,5,Johanna Lebovitz,Marjorie,marjorie
326,0,Terry Potter,Ozzy / 3rd Class Alien,ozzy 3rd class alien
326,1,Pete O'Herne,Barry / 3rd Class Alien,barry 3rd class alien
326,2,Peter Jackson,Derek / Robert,derek robert
326,3,Mike Minett,Frank / 3rd Class Alien,frank 3rd class alien
326,4,Craig Smtih,Giles / 3rd Class Alien,giles 3rd class alien
326,5,Costa Botes,3rd Class Alien,3rd class alien
326,6,Doug Wren,"Lord Crumb
Dean Lawrie - Lord Crumb SPFX double / 3rd Class Alien
Peter Vere-Jones - Lord Crumb's vocie",lord crumb dean lawrie lord crumb spfx double 3rd class alien peter vere jones lord crumbs vocie
326,7,Dean Lawrie,Lord Crumb SPFX double / 3rd Class Alien,lord crumb spfx double 3rd class alien
326,8,Peter Vere-Jones,Lord Crumb's vocie,lord crumbs vocie
974,0,Xavier Samuel,Josh,josh
974,1,Phoebe Tonkin,Jaime,jaime
974,2,Sharni Vinson,Tina,tina
974,3,Julian McMahon,Doyle,doyle
974,4,Richard Brancatisano,Rory,rory
974,5,Dan Wyllie,Kirby,kirby
974,6,Alice Parkinson,Naomi,naomi
974,7,Damien Garvey,Colins,colins
974,8,Lincoln Lewis,Kyle,kyle
974,9,Cariba Hein],Heather,heather
974,10,Alex Russell,Ryan,ryan
974,11,Adrian Pang,Jessup,jessup
974,12,Qi Yuwu,Steven,steven
974,13,Martin Sacks,Todd,todd
974,14,Chris Betts,Lockie,lockie
974,15,Simon Edds,Lifeguard,lifeguard
974,16,Miranda Deakin,TV Reporter,tv reporter
974,17,Rhiannon Dannielle Pettett,Julie,julie
974,18,Skye Fellman,Young Girl,young girl
974,19,Nicholas McCallum,Neil,neil
974,20,Gypsy,Bully the dog,bully dog
1215,0,Dani Kind,Beth Williams,beth williams
1215,1,Steve Lund,Mitch Williams,mitch williams
1215,2,Finlay Wojtak-Hissong,Harley Williams,harley williams
1215,3,Romeo Carere,Austin Williams,austin williams
1215,4,Sara Canning,Rebecca,rebecca
1215,5,Eric Bauza,the voice of Fleegle,voice of fleegle
1215,6,Naledi Majola,Paige,paige
1215,7,Maria Nash,Zoe,zoe
1215,8,Kiroshan Naidoo and Celina Martin,Thadd and Poppy Glarady,thadd and poppy glarady
1215,9,Lionel Newton,Karl,karl
1215,10,Richard White,Stevie,stevie
1215,11,Lia Sachs,Parker,parker
1215,12,Keeno Lee Hector,Jonathan,jonathan
1215,13,Daniel Fox,Andy,andy
1215,14,Vash Singh,Doug,doug
1215,15,Nicky Rebelo,Sal,sal
837,0,Ashley Bates,Veronica,veronica
837,1,David McCarthy,Rocker,rocker
837,2,Kevin Shea,Jack Gorman,jack gorman
837,3,Kerry McGann,Julianna Bansley,julianna bansley
837,4,Iris McQuillan-Grace,Kerry,kerry
837,5,Troy Walcott,Lake,lake
837,6,A. Mike Forgette,Corey,corey
837,7,Leo Petry,Officer Conelly,officer conelly
837,8,Greg Nutcher,Officer Young,officer young
837,9,Ken Lamothe,Crazy Old Man,crazy old man
837,10,Cristina Santiago,Jennifer,jennifer
837,11,John Doolan,Thomas,thomas
837,12,Nathan Pupillo,Mike,mike
837,13,Jess Wakefield,Beautiful Hitchhiker,beautiful hitchhiker
837,14,Jesse Murphy,Chad,chad
17,0,Joseph Cotten,Baron Otto von Kleist/Alfred Becker,baron otto von kleist alfred becker
17,1,Elke Sommer,Eva Arnold,eva arnold
17,2,Massimo Girotti,Dr. Karl Hummel,dr karl hummel
17,3,Rada Rassimov,Christina Hoffmann,christina hoffmann
17,4,Antonio Cantafora,Peter Kleist,peter kleist
17,5,Umberto Raho,Humi Raho) as Inspector,humi raho as inspector
17,6,Nicoletta Elmi,Gretchen Humel,gretchen humel
221,0,Beverly Bonner,Casey,casey
221,1,Diana Browne,Dr. Judith Kutter,dr judith kutter
221,2,Joe Clarke,Brian 'Mickey' O'Donovan,brian mickey odonovan
221,3,Bill Freeman,Dr. Julius Lifflander,dr julius lifflander
221,4,Rick Hearst,Brian,brian
221,5,Kevin Van Hentenryck,Duane Bradley,duane bradley
221,6,Sean McCabe,Young Duane,young duane
221,7,Ruth Neuman,Aunt,aunt
221,8,Lloyd Pace,Dr. Harold Needleman,dr harold needleman
221,9,Richard Pierce,Duane's Father,duanes father
221,10,Annie Ross,Granny Ruth,granny ruth
221,11,Terri Susan Smith,Sharon,sharon
221,12,Robert Vogel,the Hotel Manager,hotel manager
221,13,John Zacherle,Aylmer,aylmer
222,0,Ronny Cox,Eli MacCleary,eli maccleary
222,1,Bibi Besch,Caroline MacCleary,caroline maccleary
222,2,Paul Clemens,Michael MacCleary,michael maccleary
222,3,Don Gordon,Judge Curwin,judge curwin
222,4,R. G. Armstrong,Doc Schoonmaker,doc schoonmaker
222,5,Katherine Moffat,Amanda Platt,amanda platt
222,6,L. Q. Jones,Sheriff Bill Pool,sheriff bill pool
222,7,Logan Ramsey,Edwin Curwin,edwin curwin
222,8,John Dennis Johnston,Horace Platt,horace platt
222,9,Ron Soble,Tom Laws,tom laws
222,10,Luke Askew,Dexter Ward,dexter ward
222,11,Meshach Taylor,Deputy Herbert,deputy herbert
222,12,Boyce Holleman,Doc Odom,doc odom
129,0,John Saxon,John Norman,john norman
129,1,Angel Tompkins,Sandra Miller,sandra miller
129,2,John Carradine,Dr. Sigmund Hummel,dr sigmund hummel
129,3,Claudio Brook,Dr. Miller,dr miller
129,4,Alicia Encinas,Alicia,alicia
360,0,Michael Keaton,Betelgeuse,betelgeuse
360,1,Alec Baldwin,Adam Maitland,adam maitland
360,2,Geena Davis,Barbara Maitland,barbara maitland
360,3,Winona Ryder,Lydia Deetz,lydia deetz
360,4,Catherine O'Hara,Delia Deetz,delia deetz
360,5,Jeffrey Jones,Charles Deetz,charles deetz
360,6,Annie McEnroe,Jane Butterfield,jane butterfield
360,7,Glenn Shadix,Otho,otho
360,8,Sylvia Sidney,Juno,juno
360,9,Robert Goulet,Maxie Dean,maxie dean
360,10,Maree Cheatham,Sarah Dean,sarah dean
360,11,Dick Cavett,Bernard,bernard
360,12,Susan Kellermann,Grace,grace
360,13,Adelle Lutz,Beryl,beryl
360,14,Simmy Bow,Janitor,janitor
360,15,Carmen Filpi,Messenger,messenger
360,16,Patrice Martinez,Receptionist,receptionist
360,17,Tony Cox,Preacher,preacher
360,18,Jack Angel,the voice of the Preacher,voice of preacher
360,19,Cindy Daly,the Three-Fingered Typist,three fingered typist
360,20,Rachel Mittelman,Little Jane,little jane
360,21,Douglas Turner,Char Man,char man
1097,0,Kate Bosworth,Jessie Hobson,jessie hobson
1097,1,Thomas Jane,Mark Hobson,mark hobson
1097,2,Jacob Tremblay,Cody Morgan,cody morgan
1097,3,Annabeth Gish,Natalie Friedman,natalie friedman
1097,4,Antonio Evan Romero,Sean Hobson,sean hobson
1097,5,Dash Mihok,Whelan Young,whelan young
1097,6,Scottie Thompson,Teacher,teacher
1097,7,Justin Gordon,Dr. Tennant,dr tennant
1097,8,Courtney Bell,Andrea Morgan,andrea morgan
747,0,Nathan Baesel,Leslie Mancuso/Vernon,leslie mancuso vernon
747,1,Angela Goethals,Taylor Gentry,taylor gentry
747,2,Robert Englund,Doc Halloran,doc halloran
747,3,Zelda Rubinstein,Mrs. Collinwood,mrs collinwood
747,4,Kate Lang Johnson,Kelly Curtis,kelly curtis
747,5,Ben Pace,Doug Johnson,doug johnson
747,6,Britain Spellings,Todd Best,todd best
747,7,Hart Turner,Shane,shane
747,8,Krissy Carlson,Lauren,lauren
747,9,Scott Wilson,Eugene,eugene
747,10,Bridgett Newton,Jamie,jamie
747,11,Anthony Forsyth,Pete,pete
747,12,Jenafer Brown,Carrie,carrie
747,13,Travis Zariwny,Doctor Mueller,doctor mueller
747,14,Teo Gomez,Stoner #1,stoner 1
747,15,Matt Bolt,Stoner #2,stoner 2
258,0,Bill Osco,Detective Mortimer Lutz,detective mortimer lutz
258,1,Martin Landau,Garson Jones,garson jones
258,2,Marianne Gordon,Laurie,laurie
258,3,José Ferrer,Mayor Gordon Lane,mayor gordon lane
258,4,Dorothy Malone,Marge Smith,marge smith
258,5,Ruth Buzzi,Virginia Lane,virginia lane
258,6,Murray Langston,Arn,arn
258,7,Kinky Friedman,Willis,willis
258,8,Johnny Dark,John,john
1015,0,Daniel Zovatto,Johny,johny
1015,1,Bonnie Dennison,Kitty,kitty
1015,2,Chris Conroy,Matt,matt
1015,3,Jonny Orsini,Simon,simon
1015,4,Griffin Newman,Zeke,zeke
1015,5,Mackenzie Rosman,Deb,deb
1015,6,Mark Margolis,Mr. Parks,mr parks
909,0,Michael Biehn,Jonathan Miller,jonathan miller
909,1,Alexandra Daddario,Allison Miller,allison miller
909,2,Brett Rickaby,Graham Sutter,graham sutter
909,3,Nolan Gerard Funk,William,william
909,4,Spencer List,Martin Bristol,martin bristol
909,5,Chase Pechacek,Martin Bristol as age 6,martin bristol as age 6
909,6,John Savage,Ted,ted
909,7,Peyton List,Wendy Miller,wendy miller
909,8,Kathryn Meisle,Karen Miller,karen miller
909,9,Valentina de Angelis,Melissa,melissa
327,0,Valerie Sheldonas,Monica,monica
327,1,Beverly Rowland,Edna,edna
327,2,Beth Toussaint,Kate,kate
327,3,Oscar Rowland,Homer,homer
327,4,John F. Goff,Officer Hill,officer hill
327,5,Sami Ruben,Allie,allie
327,6,Joseph Alan Jones,Jerry,jerry
327,7,Mike Riley,the Berserker,berserker
18,0,Robert Walker,Bobby Hartford,bobby hartford
18,1,Gwynne Gilford,Lisa Clark,lisa clark
18,2,Richard Stahl,Edward Fazio,edward fazio
18,3,Richard Webb,Sheriff Jones,sheriff jones
18,4,Marlene Clark,Mariane Hargis,mariane hargis
18,5,Gerrit Graham,Joe,joe
18,6,J. J. Johnston,Deputy Kelly Davis,deputy kelly davis
18,7,Dick Van Patten,Scoutmaster Adleman,scoutmaster adleman
18,8,Tiger Joe Marsh,Naked Turk,naked turk
18,9,Fred Smoot,Mike,mike
18,10,Randy Stonehill,Randy Guitar player,randy guitar player
18,11,Cindy Williams,Randy's Girlfriend,randys girlfriend
18,12,Preston Hagman,Preston,preston
18,13,Larry Norman,Blonde Teenager,blonde teenager
18,14,Bill Coontz,Bowling Alley Manager,bowling alley manager
18,15,Shelley Berman,Hair Artist,hair artist
18,16,Godfrey Cambridge,Chester Hargis,chester hargis
18,17,Larry Hagman,Young Hobo,young hobo
18,18,Carol Lynley,Leslie,leslie
18,19,Burgess Meredith,Old Hobo,old hobo
18,20,Conrad Rothmann,Fireman,fireman
18,21,Danny Goldman,Bearded Teenager,bearded teenager
18,22,Rockne Tarkington,Deputy Williams,deputy williams
18,23,Tim Baar,Deputy Ted Sims,deputy ted sims
18,24,Del Close,Hobo Wearing Eyepatch,hobo wearing eyepatch
18,25,John Houser,Hair Stylist's Customer,hair stylists customer
18,26,Robert N. Goodman,Henry Security Guard,henry security guard
18,27,Patrick McAllister,Al Repairman's Assistant,al repairmans assistant
18,28,Byron Keith,Bowling Customer,bowling customer
18,29,Margie Adleman,Party Guest with Joe,party guest with joe
18,30,Sid Haig,Deputy Zed,deputy zed
213,0,Catriona MacColl,Liza Merril,liza merril
213,1,David Warbeck,Dr. John McCabe,dr john mccabe
213,2,Cinzia Monreale,Emily,emily
213,3,Antoine Saint-John,Schweick,schweick
213,4,Veronica Lazar,Martha,martha
213,5,Larry Ray,Larry,larry
213,6,Giovanni De Nava,Joe the Plumber,joe plumber
213,7,Al Cliver,Dr. Harris,dr harris
213,8,Michele Mirabella,Martin Avery,martin avery
213,9,Gianpaolo Saccarola,Arthur,arthur
213,10,Maria Pia Marsala,Jill,jill
213,11,Laura De Marchi,Mary-Anne,mary anne
150,0,John Saxon,Larry Andrews,larry andrews
150,1,Lynda Day George,Barbara Andrews,barbara andrews
150,2,Michael Dante,Del Giorgio,del giorgio
150,3,Mario Milano,Dr. Albanos,dr albanos
150,4,Janice Lynde,Alma Martin,alma martin
150,5,David Opatoshu,Dr. Solomon,dr solomon
791,0,Akshay Kumar,Dr. Aditya Shrivastav,dr aditya shrivastav
791,1,Vidya Balan,Avni Chatturvedi / Manjulika,avni chatturvedi manjulika
791,2,Shiney Ahuja,Siddharth Chatturvedi/ Raja Vibhuti Narayan,siddharth chatturvedi raja vibhuti narayan
791,3,Ameesha Patel,Radha Chatturvedi,radha chatturvedi
791,4,Paresh Rawal,Batukshankar Upadhyay,batukshankar upadhyay
791,5,Manoj Joshi,Badrinarayan Chaturvedi,badrinarayan chaturvedi
791,6,Rajpal Yadav,Natwar aka Chhote Pandit,natwar aka chhote pandit
791,7,Asrani,Murari,murari
791,8,Vikram Gokhale,Acharya Yagyaprakash Bharti,acharya yagyaprakash bharti
791,9,Rasika Joshi,Janki Upadhyay,janki upadhyay
791,10,Tarina Patel,Nandini Upadhyay,nandini upadhyay
748,0,Debbie Rochon,Miss Johnson.  Miss Johnson was the overtly lesbian gym coach at Hale Manor High.,miss johnson miss johnson was overtly lesbian gym coach at hale manor high
748,1,Leah Ford,Jenny. Jenny was,jenny jenny was
748,2,Thomas Edward Seymour,Phil. Phil was,phil phil was
748,3,Russ Russo,Russ Russo,russ russo
748,4,Margaret Rose Champagne,Eve Kendall. Eve was walking home after class and passed through,eve kendall eve was walking home after class and passed through
748,5,Carmine Capobianco,Coach Smith. Coach Smith was the middle-aged coach for the Hale Manor high school football team. Like many of his players,coach smith coach smith was middle aged coach for hale manor high school football team like many of his players
748,6,Robert Cosgrove,"Jr. as ""The Chef"". Real name",jr as chef real name
748,7,Dana Fay Ensalata,Pam. Pam was,pam pam was
748,8,Anna-Karin Eskilsson,Sharon. Sharon played for Hale Manor High’s volleyball team and was,sharon sharon played for hale manor high s volleyball team and was
748,9,Chris Mullins,Brad. Brad was the boyfriend of,brad brad was boyfriend of
748,10,Olja Hrustic,Ginger. Ginger was one of Jenny's friends who had attended her slumber party.,ginger ginger was one of jennys friends who had attended her slumber party
748,11,Amy Pelletier,Stacey. Stacey was,stacey stacey was
748,12,Matt Ford,Gary. Gary was,gary gary was
748,13,Katie Gil,Portia. Portia was one of the more buxom teenagers who played for Hale Manor High's volleyball team.,portia portia was one of more buxom teenagers who played for hale manor highs volleyball team
748,14,Sheri Bomb Toczko,Suzy. Also known as Smelly Suzy and Nerdy Suzy,suzy also known as smelly suzy and nerdy suzy
748,15,Natasha Nielsen,Tawny.,tawny
748,16,Phil Hall,Mister Robinson. Mister Robinson lived next door to both Jenny and Smelly Suzy.,mister robinson mister robinson lived next door to both jenny and smelly suzy
748,17,Todd Reynolds,Todd Reynolds,todd reynolds
748,18,Philip Guerette,"Jay ""Dela"" DelaChervete. Jay ""Dela"" DelaChervete was one of the homosexual football players at Hale Manor High. At Coach Smith's party",jay dela delachervete jay dela delachervete was one of homosexual football players at hale manor high at coach smiths party
748,19,Bruce Seymour,Polo Polopolis.,polo polopolis
748,20,Chris Rena,Joey Manasses.,joey manasses
748,21,Tim Kulig,Mike Skyran.,mike skyran
748,22,Harold Back,Tim Kulig,tim kulig
748,23,Jared Russo,Jared Russo.,jared russo
748,24,Jack Flaherty,Jack Flaherty.,jack flaherty
838,0,Debbie Rochon,Miss Johnson. Miss Johnson was the overtly lesbian gym coach at Hale Manor High.,miss johnson miss johnson was overtly lesbian gym coach at hale manor high
838,1,Rachael Robbins,Jenny. Jenny was,jenny jenny was
838,2,Thomas Edward Seymour,Gil. Gil was,gil gil was
838,3,Russ Russo,Ike. Ike was,ike ike was
838,4,Margaret Rose Champagne,Margaret Rose Champagne,margaret rose champagne
838,5,Carmine Capobianco,Coach Smith. Coach Smith was the middle-aged coach for the Hale Manor high school football team. Like many of his players,coach smith coach smith was middle aged coach for hale manor high school football team like many of his players
838,6,Robert Cosgrove,"Jr. as ""The Chef"". Real name",jr as chef real name
838,7,Dana Fay Ensalata,Sam. Sam was,sam sam was
838,8,Natalie Williams,Sharon. Sharon played for Hale Manor High’s volleyball team and was,sharon sharon played for hale manor high s volleyball team and was
838,9,Sheri Toczko,Lucy. Lucy was,lucy lucy was
838,10,Phil Hall,Professor Shipwreck. Professor Shipwreck was,professor shipwreck professor shipwreck was
838,11,Matt Ford,Gary. Gary was,gary gary was
838,12,Sarah Dauber,Mercedes. Mercedes was,mercedes mercedes was
838,13,Jack Flaherty,Todd,todd
838,14,Dick Boland,Doctor Zartan. Doctor Zartan was one of the staff members at the local community college and,doctor zartan doctor zartan was one of staff members at local community college and
838,15,Kate Gorman,Peaches. Peaches was,peaches peaches was
838,16,Natasha Nielsen,Lonnie. Lonnie was,lonnie lonnie was
838,17,Todd Reynolds,Todd Reynolds,todd reynolds
838,18,Philip Guerette,"Jay ""Dela"" DelaChervete. Jay ""Dela"" DelaChervete was one of the homosexual football players at Hale Manor High. At Coach Smith's party",jay dela delachervete jay dela delachervete was one of homosexual football players at hale manor high at coach smiths party
838,19,Bruce Seymour,Community College Commander.,community college commander
867,0,Debbie Rochon,Miss Johnson,miss johnson
867,1,Rachael Robbins,Jenny,jenny
867,2,Dick Boland,Miss Johnson,miss johnson
867,3,Niki Notarile,Sharon,sharon
867,4,Lloyd Kaufman,Doctor O'Masterblaster,doctor omasterblaster
867,5,Phil Hall,Gina Davis,gina davis
867,6,Matt Ford,Good Santa Claus,good santa claus
867,7,"Monique ""GATA"" Dupree",Dungaree,dungaree
867,8,Margaret Rose Champagne,William Defoe,william defoe
867,9,Sarah Dauber,Sapphire,sapphire
867,10,Philip Guerette,Rell the Cyclops,rell cyclops
867,11,Thomas Edward Seymour,Prince Colwyn,prince colwyn
867,12,Chris Keyes,Evil Santa Claus,evil santa claus
867,13,Dana Fay Ensalata,Crabcakes,crabcakes
867,14,Sheri Lynn,Leevin,leevin
867,15,David James Sheehan,Joe Portodo,joe portodo
1164,0,Sandra Bullock,Malorie Hayes,malorie hayes
1164,1,Trevante Rhodes,Tom,tom
1164,2,Jacki Weaver,Cheryl,cheryl
1164,3,John Malkovich,Douglas,douglas
1164,4,Sarah Paulson,Jessica Hayes,jessica hayes
1164,5,Rosa Salazar,Lucy,lucy
1164,6,Danielle Macdonald,Olympia,olympia
1164,7,Lil Rel Howery,Charlie,charlie
1164,8,Tom Hollander,Gary,gary
1164,9,Machine Gun Kelly,Felix,felix
1164,10,B.D. Wong,Greg,greg
1164,11,Pruitt Taylor Vince,Rick,rick
1164,12,Vivien Lyra Blair,Girl/Olympia,girl olympia
1164,13,Julian Edwards,Boy/Tom,boy tom
1164,14,Parminder Nagra,Dr. Lapham,dr lapham
1164,15,Rebecca Pidgeon,Lydia,lydia
1164,16,Amy Gumenick,Samantha,samantha
1164,17,Taylor Handley,Jason,jason
1164,18,Happy Anderson,the River Man,river man
1164,19,David Dastmalchian,Whistling Marauder,whistling marauder
1164,20,Keith Jardine,Yelling Marauder,yelling marauder
749,0,Katie Cassidy,Kelli Presley,kelli presley
749,1,Michelle Trachtenberg,Melissa Kitt,melissa kitt
749,2,Mary Elizabeth Winstead,Heather Fitzergald,heather fitzergald
749,3,Lacey Chabert,Dana Mathis,dana mathis
749,4,Kristen Cloke,Leigh Colvin,leigh colvin
749,5,Andrea Martin,Barbara MacHenry,barbara machenry
749,6,Crystal Lowe,Lauren,lauren
749,7,Oliver Hudson,Kyle Autry,kyle autry
749,8,Karin Konoval,Mrs. Lenz,mrs lenz
749,9,Dean Friss,Agnes Lenz,agnes lenz
749,10,Robert Mann,Billy Lenz,billy lenz
749,11,Jessica Harmon,Megan Helms,megan helms
749,12,Leela Savasta,Clair Crosby,clair crosby
749,13,Kathleen Kole,Eve Agnew,eve agnew
54,0,Olivia Hussey,Jess Bradford,jess bradford
54,1,Keir Dullea,Peter,peter
54,2,Margot Kidder,Barb,barb
54,3,John Saxon,Lt. Fuller,lt fuller
54,4,Marian Waldman,Mrs. Mac,mrs mac
54,5,Andrea Martin,Phyl,phyl
54,6,James Edmond,Mr. Harrison,mr harrison
54,7,Doug McGrath,Sargeant Nash,sargeant nash
54,8,Art Hindle,Chris,chris
54,9,Lynne Griffin,Clare,clare
1198,0,Imogen Poots,Riley Stone,riley stone
1198,1,Aleyse Shannon,Kris,kris
1198,2,Lily Donoghue,Marty,marty
1198,3,Brittany O'Grady,Jesse Bradford,jesse bradford
1198,4,Caleb Eberhardt,Landon,landon
1198,5,Cary Elwes,Professor Gelson,professor gelson
1198,6,Madeleine Adams,Helena,helena
1198,7,Ben Black,Phil McIllaney,phil mcillaney
1198,8,Simon Mead,Nate,nate
1198,9,Nathalie Morris,Fran,fran
1198,10,Zoë Robins,Oona,oona
1198,11,Ryan McIntyre,Brian Huntley,brian huntley
1198,12,Mark Neilson,Gil,gil
1198,13,Lucy Currey,Lindsay,lindsay
750,0,Nathan Meister,Henry Oldfield,henry oldfield
750,1,Peter Feeney,Angus Oldfield,angus oldfield
750,2,Danielle Mason,Experience,experience
750,3,Tammy Davis,Tucker,tucker
750,4,Oliver Driver,Grant,grant
750,5,Tandi Wright,Dr. Rush,dr rush
750,6,Glenis Levestam,Mrs. Mac,mrs mac
750,7,Nick Blake,Taxi Driver,taxi driver
750,8,Matthew Chamberlain,Oliver Oldfield,oliver oldfield
792,0,Diana Glenn,Grace,grace
792,1,Maeve Dermody,Lee,lee
792,2,Andy Rodoreda,Adam,adam
792,3,Ben Oxenbould,Jim,jim
792,4,Fiona Press,Pat,pat
899,0,Barbara Streifel Sanders,Elizabeth Pierce,elizabeth pierce
899,1,Joseph Dunn,Daniel Pierce,daniel pierce
899,2,Ian Malcolm,Dylan Pierce,dylan pierce
899,3,Michael Caruso,Ethan Devane,ethan devane
899,4,Caroline Rich,Claire Devane,claire devane
899,5,Anthony Tedesco,Freddy Appleton,freddy appleton
899,6,James Martinez,Eddie Clifton,eddie clifton
646,0,Wesley Snipes,Eric Brooks/Blade,eric brooks blade
646,1,Kris Kristofferson,Abraham Whistler,abraham whistler
646,2,Ron Perlman,Dieter Reinhardt,dieter reinhardt
646,3,Leonor Varela,Nyssa Damaskinos,nyssa damaskinos
646,4,Norman Reedus,Scud,scud
646,5,Thomas Kretschmann,Eli Damaskinos,eli damaskinos
646,6,Karel Roden,Karel Kounen,karel kounen
646,7,Luke Goss,Jared Nomak,jared nomak
646,8,Matt Schulze,Chupa,chupa
646,9,Danny John-Jules,Asad,asad
646,10,Donnie Yen,Snowman,snowman
646,11,Marit Velle Kile,Verlaine,verlaine
646,12,"Darren ""Daz"" Crawford",Lighthammer,lighthammer
646,13,Tony Curran,Priest,priest
646,14,Santiago Segura,Rush,rush
686,0,Wesley Snipes,Eric Brooks/Blade,eric brooks blade
686,1,Kris Kristofferson,Abraham Whistler,abraham whistler
686,2,Ryan Reynolds,Hannibal King,hannibal king
686,3,Jessica Biel,Abigail Whistler,abigail whistler
686,4,Parker Posey,Danica Talos,danica talos
686,5,Dominic Purcell,Drake/Dracula,drake dracula
686,6,James Remar,Ray Cumberland,ray cumberland
1098,0,James Allen McCune,James,james
1098,1,Valorie Curry,Talia,talia
1098,2,Callie Hernandez,Lisa,lisa
1098,3,Brandon Scott,Peter,peter
1098,4,Wes Robinson,Lane,lane
1098,5,Corbin Reid,Ashley,ashley
586,0,Heather Donahue,Heather Donahue,heather donahue
586,1,Joshua Leonard,Joshua 'Josh' Leonard,joshua josh leonard
586,2,Michael C. Williams,Michael 'Mike' Williams,michael mike williams
609,0,Kim Basinger,Maggie O'Connor,maggie oconnor
