Horror Wiki Index,char index,actor,character,stripped character
560,8,Elizabeth McCormick,Ellen Sarch,ellen sarch
560,9,J.R. Rodriguez,Terminal Cop #1,terminal cop 1
560,10,Robert Leon Casey,Terminal Cop #2,terminal cop 2
560,11,Ashton Stewart,Nate Wilson,nate wilson
560,12,William Neely,Ray Sarch,ray sarch
560,13,Windy Wenderlich,Henry Gates,henry gates
560,14,General Fermon Judd Jr.,Policeman,policeman
313,0,Jason Lively,Chris Romero,chris romero
313,1,Steve Marshall,"James Carpenter ""J.C."" Hooper",james carpenter jc hooper
313,2,Jill Whitlow,Cynthia Cronenberg,cynthia cronenberg
313,3,Tom Atkins,"Det. Ray Cameron
Dave Alan Johnson as young Cameron",det ray cameron dave alan johnson as young cameron
313,4,Dave Alan Johnson,young Cameron,young cameron
313,5,Allan Kayser,Brad,brad
313,6,Wally Taylor,Det. Landis,det landis
313,7,Bruce Solomon,Sgt. Raimi,sgt raimi
313,8,David Paymer,Hollister,hollister
313,9,David Oliver,Steve,steve
313,10,Dick Miller,Walt,walt
313,11,Ken Heron,Johnny,johnny
313,12,Alice Cadogan,Pam,pam
313,13,Suzanne Snyder,Lisa,lisa
313,14,John J. York,Todd,todd
313,15,June Harris,Karen,karen
313,16,Jay Arlen Jones,Officer Craven,officer craven
313,17,Elizabeth Alda,Officer Bava,officer bava
313,18,Robert Kino,Mr. Miner,mr miner
313,19,Lori Lively,Lori,lori
313,20,Vic Polizos,Coroner,coroner
313,21,Dan Frischman,Alien Zombie,alien zombie
313,22,Evelyne Smith,House Mother,house mother
313,23,Shane Black,Cop,cop
313,24,Robert Kurtzman and Howard Berger,Beta Zombies,beta zombies
313,25,Robert Kerman,Patrolman,patrolman
15,0,David Selby,Quentin Collins/Charles Collins,quentin collins charles collins
15,1,Grayson Hal,Carlotta Drake,carlotta drake
15,2,Kate Jackson,Tracy Collins,tracy collins
15,3,Lara Parker,Angelique Collins,angelique collins
15,4,John Karlen,Alex Jenkins,alex jenkins
15,5,Nancy Barrett,Claire Jenkins,claire jenkins
15,6,James Storm,Gerard Stiles,gerard stiles
15,7,Thayer David,Reverend Strack,reverend strack
15,8,Christopher Pennock,Gabriel Collins,gabriel collins
15,9,Diana Millay,Laura Collins,laura collins
15,10,Monica Rich,Sarah Castle,sarah castle
15,11,Clarice Blackburn,Mrs. Castle,mrs castle
15,12,Arthur Haggerty,Bald henchman,bald henchman
15,13,Robert Singer,Henchman,henchman
173,0,Michael Cutt,Professor Bill Nugent,professor bill nugent
173,6,Melanie Graham,Wanda McGinty,wanda mcginty
173,8,Paul Kelleher,Sheriff,sheriff
173,11,Lynn Eastman-Rossi,Susan Nugent,susan nugent
173,12,Eugene Dow,Doctor Paxton,doctor paxton
173,13,Don Hurst,Doctor Harris,doctor harris
173,14,Terry Wilson,Inspector Stack,inspector stack
173,15,Kathy Stimac,Girl Scout Jr.,girl scout jr
173,16,Renata Lee,Girl Scout Sr.,girl scout sr
173,17,Philip Boyd,Hunter,hunter
173,18,Mark Phelan,Woodsman,woodsman
173,19,Jennifer West,Van Lover,van lover
173,20,Greg Langdon,Van Lover,van lover
173,21,Rob Camp,Motorcyclist,motorcyclist
173,22,Shane Dixon,Monster,monster
173,23,Barrett Cooper,Reverend Emmet McGinty,reverend emmet mcginty
443,0,Tony Todd,Ben,ben
443,1,Patricia Tallman,Barbara,barbara
443,2,Tom Towles,Harry Cooper,harry cooper
443,3,McKee Anderson,Helen Cooper,helen cooper
443,4,Heather Mazur,Sarah Cooper,sarah cooper
443,5,William Butler,Tom Bitner,tom bitner
443,6,Katie Finneran,Judy Rose Larson,judy rose larson
443,7,Bill Moseley,Johnny,johnny
443,8,Russell Streiner,Sheriff McClelland,sheriff mcclelland
206,0,Leonard Mann,Lt. Judd Austin,lt judd austin
206,1,Rachel Ward,Eleanor Adjai,eleanor adjai
206,2,Drew Snyder,Vincent Millett,vincent millett
206,3,Joseph R. Sicari,Taj,taj
206,4,Nicholas Cairis,Gus,gus
206,5,Karen MacDonald,Carol,carol
206,6,Annette Miller,Helene Griffin,helene griffin
289,0,John Phillip Law,Harry Billings,harry billings
289,1,Cameron Mitchell,The Lieutenant,lieutenant
289,2,Marc Lawrence,Dieter / Mr. Weiss,dieter mr weiss
289,3,Richard Moll,James Hansen / Otto,james hansen otto
289,4,Meredith Haze,Greta Connors,greta connors
289,5,Ferdy Mayne,God,god
289,6,Tony Giorgio,Satan,satan
289,7,J. Martin Sellers,George Youngmeyer,george youngmeyer
289,8,Faith Clift,Claire Hansen,claire hansen
230,0,Susan Tyrrell,Cheryl Roberts,cheryl roberts
230,1,Bo Svenson,Detective Joe Carlson,detective joe carlson
230,2,Jimmy McNichol,Billy Lynch,billy lynch
230,3,Bill Paxton,Eddie,eddie
230,4,Marcia Lewis,Margie,margie
230,5,Julia Duffy,Julia,julia
230,6,Steve Eastin,Coach Tom Landers,coach tom landers
230,7,Britt Leach,Sgt. Cook,sgt cook
230,8,Caskey Swaim,Phil Brody,phil brody
230,9,Cooper Neal,Frank,frank
230,10,Gary Baxley,Craig Strang/Bill Lynch Sr.,craig strang bill lynch sr
230,11,Kay Kimler,Anna Lynch,anna lynch
230,12,Randy Norton,Student Tony,student tony
230,13,Alex Baker,Police Officer Westcott,police officer westcott
230,14,Vickie Oleson,Lady Police Officer,lady police officer
230,15,Clemente Anchondo,Jail Arrestee,jail arrestee
230,16,Kelly Kopp,Student,student
230,17,Steve DeFrance,Lab Man,lab man
230,18,Bill Keene,Radio Announcer,radio announcer
502,0,Chris Sarandon,Jack Skellington,jack skellington
502,1,Elfman,one of the trick-or-treaters working for Oogie Boogie.,one of trick or treaters working for oogie boogie
502,2,Elfman,the self-described clown who rides,self described clown who rides
502,3,Catherine O'Hara,Catherine O'Hara,catherine ohara
502,4,O'Hara,one of the trick-or-treaters working for Oogie Boogie.,one of trick or treaters working for oogie boogie
502,5,William Hickey,Doctor Finklestein,doctor finklestein
502,6,Glenn Shadix,Mayor of Halloween Town,mayor of halloween town
502,7,Ken Page,Oogie Boogie,oogie boogie
502,8,Ed Ivory,Santa Claus,santa claus
502,9,Paul Reubens,Lock,lock
174,0,Hugo Stiglitz,Dean Miller,dean miller
174,1,Laura Trotter,Dr. Anna Miller,dr anna miller
174,2,Maria Rosaria Omaggio,Sheila Holmes,sheila holmes
174,3,Francisca Rabal,Major Warren Holmes,major warren holmes
174,4,Mel Ferrer,General Murchison,general murchison
174,5,Sonia Viviani,Cindy,cindy
174,6,Eduardo Fajardo,Dr. Kramer,dr kramer
561,0,Ewan McGregor,Martin Bells,martin bells
561,1,Patricia Arquette,Catherine,catherine
561,2,Josh Brolin,James Gallman,james gallman
561,3,Lauren Graham,Marie,marie
561,4,Nick Nolte,Inspector Thomas Cray,inspector thomas cray
561,5,Brad Dourif,Duty Doctor,duty doctor
561,6,Alix Koromzay,Joyce,joyce
561,7,Lonny Chapman,Old Watchman,old watchman
561,8,Michelle Csitos,Prostitute,prostitute
561,9,Robert LaSardo,Pub Thug,pub thug
561,10,Mongo Brownlee,Pub Thug friend,pub thug friend
561,11,Larry Cedar,Waiter,waiter
561,12,Sandra Hess,Student,student
561,13,John C. Reilly,Deputy Inspector Bill Davis,deputy inspector bill davis
140,0,Klaus Kinski,Count Dracula,count dracula
140,1,Isabelle Adjani,Lucy Harker,lucy harker
140,2,Bruno Ganz,Jonathan Harker,jonathan harker
140,3,Roland Topor,Renfield,renfield
140,4,Walter Ladengast,Dr Abraham Van Helsing,dr abraham van helsing
140,5,Dan van Husen,Warden,warden
140,6,Jan Groth,Harbormaster,harbormaster
140,7,Carsten Bodinus,Schrader,schrader
140,8,Martje Grohmann,Mina,mina
140,9,Rijk de Gooyer,Town official,town official
140,10,Clemens Scheitz,Clerk,clerk
140,11,John Leddy,Coachman,coachman
140,12,Tim Beekman,Coffin bearer,coffin bearer
1178,0,Demian Bichir,Father Burke,father burke
1178,1,Taissa Farmiga,Sister Irene,sister irene
1178,2,Jonas Bloquet,"Maurice ""Frenchie"" Theriault",maurice frenchie theriault
1178,3,Bonnie Aarons,Valak / The Nun,valak nun
1178,4,Charlotte Hope,Sister Victoria,sister victoria
1178,5,Ingrid Bisu,Sister Oana,sister oana
1178,6,Sandra Teles,Sister Ruth,sister ruth
1178,7,Manuela Ciucur,Sister Christine,sister christine
1178,8,Ani Sava,Sister Jessica,sister jessica
1178,9,August Maturo,Daniel,daniel
1178,10,Jonny Coyne,Gregoro,gregoro
1178,11,Mark Steger,The Duke,duke
1178,12,Jared Morgan,Marquis,marquis
1178,13,Michael Smiley,Bishop Pasquale,bishop pasquale
1057,0,Karen Gillan,Kaylie Russell,kaylie russell
1057,1,Brenton Thwaites,Tim Russell,tim russell
1057,2,Annalise Basso,Young Kaylie Russell,young kaylie russell
1057,3,Garrett Ryan,Young Tim Russell,young tim russell
1057,4,Rory Cochrane,Alan Russell,alan russell
1057,5,Katee Sackhoff,Marie Russell,marie russell
1057,6,James Lafferty,Michael,michael
1057,7,Miguel Sandoval,Dr. Graham,dr graham
1057,8,Katie Parker,Annie,annie
1057,9,Kate Siegel,Marisol,marisol
