Horror Wiki Index,char index,actor,character,stripped character,killed
974,0,Xavier Samuel,Josh,josh,N/A
974,1,Phoebe Tonkin,Jaime,jaime,N/A
974,2,Sharni Vinson,Tina,tina,N/A
974,3,Julian McMahon,Doyle,doyle,N/A
974,4,Richard Brancatisano,Rory,rory,N/A
974,5,Dan Wyllie,Kirby,kirby,N/A
974,6,Alice Parkinson,Naomi,naomi,N/A
974,7,Damien Garvey,Colins,colins,N/A
974,8,Lincoln Lewis,Kyle,kyle,N/A
974,9,Cariba Hein],Heather,heather,N/A
974,10,Alex Russell,Ryan,ryan,N/A
974,11,Adrian Pang,Jessup,jessup,N/A
974,12,Qi Yuwu,Steven,steven,N/A
974,13,Martin Sacks,Todd,todd,N/A
974,14,Chris Betts,Lockie,lockie,N/A
974,15,Simon Edds,Lifeguard,lifeguard,N/A
974,16,Miranda Deakin,TV Reporter,tv reporter,N/A
974,17,Rhiannon Dannielle Pettett,Julie,julie,N/A
974,18,Skye Fellman,Young Girl,young girl,N/A
974,19,Nicholas McCallum,Neil,neil,N/A
974,20,Gypsy,Bully the dog,bully dog,N/A
1215,0,Dani Kind,Beth Williams,beth williams,False
1215,1,Steve Lund,Mitch Williams,mitch williams,True
1215,2,Finlay Wojtak-Hissong,Harley Williams,harley williams,False
1215,3,Romeo Carere,Austin Williams,austin williams,False
1215,4,Sara Canning,Rebecca,rebecca,True
1215,5,Eric Bauza,the voice of Fleegle,voice of fleegle,False
1215,6,Naledi Majola,Paige,paige,False
1215,7,Maria Nash,Zoe,zoe,False
1215,8,Kiroshan Naidoo and Celina Martin,Thadd and Poppy Glarady,thadd and poppy glarady,False
1215,9,Lionel Newton,Karl,karl,True
1215,10,Richard White,Stevie,stevie,True
1215,11,Lia Sachs,Parker,parker,False
1215,12,Keeno Lee Hector,Jonathan,jonathan,True
1215,13,Daniel Fox,Andy,andy,True
1215,14,Vash Singh,Doug,doug,True
1215,15,Nicky Rebelo,Sal,sal,True
837,0,Ashley Bates,Veronica,veronica,N/A
837,1,David McCarthy,Rocker,rocker,N/A
837,2,Kevin Shea,Jack Gorman,jack gorman,N/A
837,3,Kerry McGann,Julianna Bansley,julianna bansley,N/A
837,4,Iris McQuillan-Grace,Kerry,kerry,N/A
837,5,Troy Walcott,Lake,lake,N/A
837,6,A. Mike Forgette,Corey,corey,N/A
837,7,Leo Petry,Officer Conelly,officer conelly,N/A
837,8,Greg Nutcher,Officer Young,officer young,N/A
837,9,Ken Lamothe,Crazy Old Man,crazy old man,N/A
837,10,Cristina Santiago,Jennifer,jennifer,N/A
837,11,John Doolan,Thomas,thomas,N/A
837,12,Nathan Pupillo,Mike,mike,N/A
837,13,Jess Wakefield,Beautiful Hitchhiker,beautiful hitchhiker,N/A
837,14,Jesse Murphy,Chad,chad,N/A
17,0,Joseph Cotten,Baron Otto von Kleist/Alfred Becker,baron otto von kleist alfred becker,N/A
17,1,Elke Sommer,Eva Arnold,eva arnold,N/A
17,2,Massimo Girotti,Dr. Karl Hummel,dr karl hummel,N/A
17,3,Rada Rassimov,Christina Hoffmann,christina hoffmann,N/A
17,4,Antonio Cantafora,Peter Kleist,peter kleist,N/A
17,5,Umberto Raho,Humi Raho) as Inspector,humi raho as inspector,N/A
17,6,Nicoletta Elmi,Gretchen Humel,gretchen humel,N/A
221,0,Beverly Bonner,Casey,casey,False
221,1,Diana Browne,Dr. Judith Kutter,dr judith kutter,True
221,2,Joe Clarke,Brian 'Mickey' O'Donovan,brian mickey odonovan,True
221,3,Bill Freeman,Dr. Julius Lifflander,dr julius lifflander,True
221,4,Rick Hearst,Brian,brian,True
221,5,Kevin Van Hentenryck,Duane Bradley,duane bradley,False
221,6,Sean McCabe,Young Duane,young duane,False
221,7,Ruth Neuman,Aunt,aunt,True
221,8,Lloyd Pace,Dr. Harold Needleman,dr harold needleman,True
221,9,Richard Pierce,Duane's Father,duanes father,False
221,10,Annie Ross,Granny Ruth,granny ruth,False
221,11,Terri Susan Smith,Sharon,sharon,True
221,12,Robert Vogel,the Hotel Manager,hotel manager,False
221,13,John Zacherle,Aylmer,aylmer,False
222,0,Ronny Cox,Eli MacCleary,eli maccleary,N/A
222,1,Bibi Besch,Caroline MacCleary,caroline maccleary,N/A
222,2,Paul Clemens,Michael MacCleary,michael maccleary,N/A
222,3,Don Gordon,Judge Curwin,judge curwin,N/A
222,4,R. G. Armstrong,Doc Schoonmaker,doc schoonmaker,N/A
222,5,Katherine Moffat,Amanda Platt,amanda platt,N/A
222,6,L. Q. Jones,Sheriff Bill Pool,sheriff bill pool,N/A
222,7,Logan Ramsey,Edwin Curwin,edwin curwin,N/A
222,8,John Dennis Johnston,Horace Platt,horace platt,N/A
222,9,Ron Soble,Tom Laws,tom laws,N/A
222,10,Luke Askew,Dexter Ward,dexter ward,N/A
222,11,Meshach Taylor,Deputy Herbert,deputy herbert,N/A
222,12,Boyce Holleman,Doc Odom,doc odom,N/A
129,0,John Saxon,John Norman,john norman,N/A
129,1,Angel Tompkins,Sandra Miller,sandra miller,N/A
129,2,John Carradine,Dr. Sigmund Hummel,dr sigmund hummel,N/A
129,3,Claudio Brook,Dr. Miller,dr miller,N/A
129,4,Alicia Encinas,Alicia,alicia,N/A
360,0,Michael Keaton,Betelgeuse,betelgeuse,N/A
360,1,Alec Baldwin,Adam Maitland,adam maitland,N/A
360,2,Geena Davis,Barbara Maitland,barbara maitland,N/A
360,3,Winona Ryder,Lydia Deetz,lydia deetz,N/A
360,4,Catherine O'Hara,Delia Deetz,delia deetz,N/A
360,5,Jeffrey Jones,Charles Deetz,charles deetz,N/A
360,6,Annie McEnroe,Jane Butterfield,jane butterfield,N/A
360,7,Glenn Shadix,Otho,otho,N/A
360,8,Sylvia Sidney,Juno,juno,N/A
360,9,Robert Goulet,Maxie Dean,maxie dean,N/A
360,10,Maree Cheatham,Sarah Dean,sarah dean,N/A
360,11,Dick Cavett,Bernard,bernard,N/A
360,12,Susan Kellermann,Grace,grace,N/A
360,13,Adelle Lutz,Beryl,beryl,N/A
360,14,Simmy Bow,Janitor,janitor,N/A
360,15,Carmen Filpi,Messenger,messenger,N/A
360,16,Patrice Martinez,Receptionist,receptionist,N/A
360,17,Tony Cox,Preacher,preacher,N/A
360,18,Jack Angel,the voice of the Preacher,voice of preacher,N/A
360,19,Cindy Daly,the Three-Fingered Typist,three fingered typist,N/A
360,20,Rachel Mittelman,Little Jane,little jane,N/A
360,21,Douglas Turner,Char Man,char man,N/A
1097,0,Kate Bosworth,Jessie Hobson,jessie hobson,N/A
1097,1,Thomas Jane,Mark Hobson,mark hobson,N/A
1097,2,Jacob Tremblay,Cody Morgan,cody morgan,N/A
1097,3,Annabeth Gish,Natalie Friedman,natalie friedman,N/A
1097,4,Antonio Evan Romero,Sean Hobson,sean hobson,N/A
1097,5,Dash Mihok,Whelan Young,whelan young,N/A
1097,6,Scottie Thompson,Teacher,teacher,N/A
1097,7,Justin Gordon,Dr. Tennant,dr tennant,N/A
1097,8,Courtney Bell,Andrea Morgan,andrea morgan,N/A
747,0,Nathan Baesel,Leslie Mancuso/Vernon,leslie mancuso vernon,False
747,1,Angela Goethals,Taylor Gentry,taylor gentry,False
747,2,Robert Englund,Doc Halloran,doc halloran,False
747,3,Zelda Rubinstein,Mrs. Collinwood,mrs collinwood,True
747,4,Kate Lang Johnson,Kelly Curtis,kelly curtis,False
747,5,Ben Pace,Doug Johnson,doug johnson,False
747,6,Britain Spellings,Todd Best,todd best,False
747,7,Hart Turner,Shane,shane,True
747,8,Krissy Carlson,Lauren,lauren,True
747,9,Scott Wilson,Eugene,eugene,False
747,10,Bridgett Newton,Jamie,jamie,False
747,11,Anthony Forsyth,Pete,pete,True
747,12,Jenafer Brown,Carrie,carrie,False
747,13,Travis Zariwny,Doctor Mueller,doctor mueller,False
747,14,Teo Gomez,Stoner #1,stoner 1,False
747,15,Matt Bolt,Stoner #2,stoner 2,False
258,0,Bill Osco,Detective Mortimer Lutz,detective mortimer lutz,N/A
258,1,Martin Landau,Garson Jones,garson jones,N/A
258,2,Marianne Gordon,Laurie,laurie,N/A
258,3,José Ferrer,Mayor Gordon Lane,mayor gordon lane,N/A
258,4,Dorothy Malone,Marge Smith,marge smith,N/A
258,5,Ruth Buzzi,Virginia Lane,virginia lane,N/A
258,6,Murray Langston,Arn,arn,N/A
258,7,Kinky Friedman,Willis,willis,N/A
258,8,Johnny Dark,John,john,N/A
1015,0,Daniel Zovatto,Johny,johny,N/A
1015,1,Bonnie Dennison,Kitty,kitty,N/A
1015,2,Chris Conroy,Matt,matt,N/A
1015,3,Jonny Orsini,Simon,simon,N/A
1015,4,Griffin Newman,Zeke,zeke,N/A
1015,5,Mackenzie Rosman,Deb,deb,N/A
1015,6,Mark Margolis,Mr. Parks,mr parks,N/A
909,0,Michael Biehn,Jonathan Miller,jonathan miller,N/A
909,1,Alexandra Daddario,Allison Miller,allison miller,N/A
909,2,Brett Rickaby,Graham Sutter,graham sutter,N/A
909,3,Nolan Gerard Funk,William,william,N/A
909,4,Spencer List,Martin Bristol,martin bristol,N/A
909,5,Chase Pechacek,Martin Bristol as age 6,martin bristol as age 6,N/A
909,6,John Savage,Ted,ted,N/A
909,7,Peyton List,Wendy Miller,wendy miller,N/A
909,8,Kathryn Meisle,Karen Miller,karen miller,N/A
909,9,Valentina de Angelis,Melissa,melissa,N/A
327,0,Valerie Sheldonas,Monica,monica,N/A
327,1,Beverly Rowland,Edna,edna,N/A
327,2,Beth Toussaint,Kate,kate,N/A
327,3,Oscar Rowland,Homer,homer,N/A
327,4,John F. Goff,Officer Hill,officer hill,N/A
327,5,Sami Ruben,Allie,allie,N/A
327,6,Joseph Alan Jones,Jerry,jerry,N/A
327,7,Mike Riley,the Berserker,berserker,N/A
18,0,Robert Walker,Bobby Hartford,bobby hartford,False
18,1,Gwynne Gilford,Lisa Clark,lisa clark,False
18,2,Richard Stahl,Edward Fazio,edward fazio,False
18,3,Richard Webb,Sheriff Jones,sheriff jones,False
18,4,Marlene Clark,Mariane Hargis,mariane hargis,True
18,5,Gerrit Graham,Joe,joe,True
18,6,J. J. Johnston,Deputy Kelly Davis,deputy kelly davis,True
18,7,Dick Van Patten,Scoutmaster Adleman,scoutmaster adleman,True
18,8,Tiger Joe Marsh,Naked Turk,naked turk,False
18,9,Fred Smoot,Mike,mike,True
18,10,Randy Stonehill,Randy Guitar player,randy guitar player,False
18,11,Cindy Williams,Randy's Girlfriend,randys girlfriend,True
18,12,Preston Hagman,Preston,preston,False
18,13,Larry Norman,Blonde Teenager,blonde teenager,False
18,14,Bill Coontz,Bowling Alley Manager,bowling alley manager,True
18,15,Shelley Berman,Hair Artist,hair artist,False
18,16,Godfrey Cambridge,Chester Hargis,chester hargis,True
18,17,Larry Hagman,Young Hobo,young hobo,False
18,18,Carol Lynley,Leslie,leslie,True
18,19,Burgess Meredith,Old Hobo,old hobo,False
18,20,Conrad Rothmann,Fireman,fireman,False
18,21,Danny Goldman,Bearded Teenager,bearded teenager,False
18,22,Rockne Tarkington,Deputy Williams,deputy williams,False
18,23,Tim Baar,Deputy Ted Sims,deputy ted sims,False
18,24,Del Close,Hobo Wearing Eyepatch,hobo wearing eyepatch,True
18,25,John Houser,Hair Stylist's Customer,hair stylists customer,True
18,26,Robert N. Goodman,Henry Security Guard,henry security guard,True
18,27,Patrick McAllister,Al Repairman's Assistant,al repairmans assistant,False
18,28,Byron Keith,Bowling Customer,bowling customer,True
18,29,Margie Adleman,Party Guest with Joe,party guest with joe,False
18,30,Sid Haig,Deputy Zed,deputy zed,True
213,0,Catriona MacColl,Liza Merril,liza merril,N/A
213,1,David Warbeck,Dr. John McCabe,dr john mccabe,N/A
213,2,Cinzia Monreale,Emily,emily,N/A
213,3,Antoine Saint-John,Schweick,schweick,N/A
213,4,Veronica Lazar,Martha,martha,N/A
213,5,Larry Ray,Larry,larry,N/A
213,6,Giovanni De Nava,Joe the Plumber,joe plumber,N/A
213,7,Al Cliver,Dr. Harris,dr harris,N/A
213,8,Michele Mirabella,Martin Avery,martin avery,N/A
213,9,Gianpaolo Saccarola,Arthur,arthur,N/A
213,10,Maria Pia Marsala,Jill,jill,N/A
213,11,Laura De Marchi,Mary-Anne,mary anne,N/A
150,0,John Saxon,Larry Andrews,larry andrews,N/A
150,1,Lynda Day George,Barbara Andrews,barbara andrews,N/A
150,2,Michael Dante,Del Giorgio,del giorgio,N/A
150,3,Mario Milano,Dr. Albanos,dr albanos,N/A
150,4,Janice Lynde,Alma Martin,alma martin,N/A
150,5,David Opatoshu,Dr. Solomon,dr solomon,N/A
791,0,Akshay Kumar,Dr. Aditya Shrivastav,dr aditya shrivastav,N/A
791,1,Vidya Balan,Avni Chatturvedi / Manjulika,avni chatturvedi manjulika,N/A
791,2,Shiney Ahuja,Siddharth Chatturvedi/ Raja Vibhuti Narayan,siddharth chatturvedi raja vibhuti narayan,N/A
791,3,Ameesha Patel,Radha Chatturvedi,radha chatturvedi,N/A
791,4,Paresh Rawal,Batukshankar Upadhyay,batukshankar upadhyay,N/A
791,5,Manoj Joshi,Badrinarayan Chaturvedi,badrinarayan chaturvedi,N/A
791,6,Rajpal Yadav,Natwar aka Chhote Pandit,natwar aka chhote pandit,N/A
791,7,Asrani,Murari,murari,N/A
791,8,Vikram Gokhale,Acharya Yagyaprakash Bharti,acharya yagyaprakash bharti,N/A
791,9,Rasika Joshi,Janki Upadhyay,janki upadhyay,N/A
791,10,Tarina Patel,Nandini Upadhyay,nandini upadhyay,N/A
748,0,Debbie Rochon,Miss Johnson.  Miss Johnson was the overtly lesbian gym coach at Hale Manor High.,miss johnson miss johnson was overtly lesbian gym coach at hale manor high,N/A
748,1,Leah Ford,Jenny. Jenny was,jenny jenny was,N/A
748,2,Thomas Edward Seymour,Phil. Phil was,phil phil was,N/A
748,3,Russ Russo,Russ Russo,russ russo,N/A
748,4,Margaret Rose Champagne,Eve Kendall. Eve was walking home after class and passed through,eve kendall eve was walking home after class and passed through,N/A
748,5,Carmine Capobianco,Coach Smith. Coach Smith was the middle-aged coach for the Hale Manor high school football team. Like many of his players,coach smith coach smith was middle aged coach for hale manor high school football team like many of his players,N/A
748,6,Robert Cosgrove,"Jr. as ""The Chef"". Real name",jr as chef real name,N/A
748,7,Dana Fay Ensalata,Pam. Pam was,pam pam was,N/A
748,8,Anna-Karin Eskilsson,Sharon. Sharon played for Hale Manor High’s volleyball team and was,sharon sharon played for hale manor high s volleyball team and was,N/A
748,9,Chris Mullins,Brad. Brad was the boyfriend of,brad brad was boyfriend of,N/A
748,10,Olja Hrustic,Ginger. Ginger was one of Jenny's friends who had attended her slumber party.,ginger ginger was one of jennys friends who had attended her slumber party,N/A
748,11,Amy Pelletier,Stacey. Stacey was,stacey stacey was,N/A
748,12,Matt Ford,Gary. Gary was,gary gary was,N/A
748,13,Katie Gil,Portia. Portia was one of the more buxom teenagers who played for Hale Manor High's volleyball team.,portia portia was one of more buxom teenagers who played for hale manor highs volleyball team,N/A
748,14,Sheri Bomb Toczko,Suzy. Also known as Smelly Suzy and Nerdy Suzy,suzy also known as smelly suzy and nerdy suzy,N/A
748,15,Natasha Nielsen,Tawny.,tawny,N/A
748,16,Phil Hall,Mister Robinson. Mister Robinson lived next door to both Jenny and Smelly Suzy.,mister robinson mister robinson lived next door to both jenny and smelly suzy,N/A
748,17,Todd Reynolds,Todd Reynolds,todd reynolds,N/A
748,18,Philip Guerette,"Jay ""Dela"" DelaChervete. Jay ""Dela"" DelaChervete was one of the homosexual football players at Hale Manor High. At Coach Smith's party",jay dela delachervete jay dela delachervete was one of homosexual football players at hale manor high at coach smiths party,N/A
748,19,Bruce Seymour,Polo Polopolis.,polo polopolis,N/A
748,20,Chris Rena,Joey Manasses.,joey manasses,N/A
748,21,Tim Kulig,Mike Skyran.,mike skyran,N/A
748,22,Harold Back,Tim Kulig,tim kulig,N/A
748,23,Jared Russo,Jared Russo.,jared russo,N/A
748,24,Jack Flaherty,Jack Flaherty.,jack flaherty,N/A
838,0,Debbie Rochon,Miss Johnson. Miss Johnson was the overtly lesbian gym coach at Hale Manor High.,miss johnson miss johnson was overtly lesbian gym coach at hale manor high,N/A
838,1,Rachael Robbins,Jenny. Jenny was,jenny jenny was,N/A
838,2,Thomas Edward Seymour,Gil. Gil was,gil gil was,N/A
838,3,Russ Russo,Ike. Ike was,ike ike was,N/A
838,4,Margaret Rose Champagne,Margaret Rose Champagne,margaret rose champagne,N/A
838,5,Carmine Capobianco,Coach Smith. Coach Smith was the middle-aged coach for the Hale Manor high school football team. Like many of his players,coach smith coach smith was middle aged coach for hale manor high school football team like many of his players,N/A
838,6,Robert Cosgrove,"Jr. as ""The Chef"". Real name",jr as chef real name,N/A
838,7,Dana Fay Ensalata,Sam. Sam was,sam sam was,N/A
838,8,Natalie Williams,Sharon. Sharon played for Hale Manor High’s volleyball team and was,sharon sharon played for hale manor high s volleyball team and was,N/A
838,9,Sheri Toczko,Lucy. Lucy was,lucy lucy was,N/A
838,10,Phil Hall,Professor Shipwreck. Professor Shipwreck was,professor shipwreck professor shipwreck was,N/A
838,11,Matt Ford,Gary. Gary was,gary gary was,N/A
838,12,Sarah Dauber,Mercedes. Mercedes was,mercedes mercedes was,N/A
838,13,Jack Flaherty,Todd,todd,N/A
838,14,Dick Boland,Doctor Zartan. Doctor Zartan was one of the staff members at the local community college and,doctor zartan doctor zartan was one of staff members at local community college and,N/A
838,15,Kate Gorman,Peaches. Peaches was,peaches peaches was,N/A
838,16,Natasha Nielsen,Lonnie. Lonnie was,lonnie lonnie was,N/A
838,17,Todd Reynolds,Todd Reynolds,todd reynolds,N/A
838,18,Philip Guerette,"Jay ""Dela"" DelaChervete. Jay ""Dela"" DelaChervete was one of the homosexual football players at Hale Manor High. At Coach Smith's party",jay dela delachervete jay dela delachervete was one of homosexual football players at hale manor high at coach smiths party,N/A
838,19,Bruce Seymour,Community College Commander.,community college commander,N/A
867,0,Debbie Rochon,Miss Johnson,miss johnson,N/A
867,1,Rachael Robbins,Jenny,jenny,N/A
867,2,Dick Boland,Miss Johnson,miss johnson,N/A
867,3,Niki Notarile,Sharon,sharon,N/A
867,4,Lloyd Kaufman,Doctor O'Masterblaster,doctor omasterblaster,N/A
867,5,Phil Hall,Gina Davis,gina davis,N/A
