Horror Wiki Index,char index,actor,character,stripped character,killed
867,6,Matt Ford,Good Santa Claus,good santa claus,N/A
867,7,"Monique ""GATA"" Dupree",Dungaree,dungaree,N/A
867,8,Margaret Rose Champagne,William Defoe,william defoe,N/A
867,9,Sarah Dauber,Sapphire,sapphire,N/A
867,10,Philip Guerette,Rell the Cyclops,rell cyclops,N/A
867,11,Thomas Edward Seymour,Prince Colwyn,prince colwyn,N/A
867,12,Chris Keyes,Evil Santa Claus,evil santa claus,N/A
867,13,Dana Fay Ensalata,Crabcakes,crabcakes,N/A
867,14,Sheri Lynn,Leevin,leevin,N/A
867,15,David James Sheehan,Joe Portodo,joe portodo,N/A
1164,0,Sandra Bullock,Malorie Hayes,malorie hayes,False
1164,1,Trevante Rhodes,Tom,tom,True
1164,2,Jacki Weaver,Cheryl,cheryl,True
1164,3,John Malkovich,Douglas,douglas,True
1164,4,Sarah Paulson,Jessica Hayes,jessica hayes,True
1164,5,Rosa Salazar,Lucy,lucy,False
1164,6,Danielle Macdonald,Olympia,olympia,True
1164,7,Lil Rel Howery,Charlie,charlie,True
1164,8,Tom Hollander,Gary,gary,True
1164,9,Machine Gun Kelly,Felix,felix,False
1164,10,B.D. Wong,Greg,greg,True
1164,11,Pruitt Taylor Vince,Rick,rick,False
1164,12,Vivien Lyra Blair,Girl/Olympia,girl olympia,False
1164,13,Julian Edwards,Boy/Tom,boy tom,False
1164,14,Parminder Nagra,Dr. Lapham,dr lapham,False
1164,15,Rebecca Pidgeon,Lydia,lydia,True
1164,16,Amy Gumenick,Samantha,samantha,False
1164,17,Taylor Handley,Jason,jason,False
1164,18,Happy Anderson,the River Man,river man,True
1164,19,David Dastmalchian,Whistling Marauder,whistling marauder,False
1164,20,Keith Jardine,Yelling Marauder,yelling marauder,False
749,0,Katie Cassidy,Kelli Presley,kelli presley,N/A
749,1,Michelle Trachtenberg,Melissa Kitt,melissa kitt,N/A
749,2,Mary Elizabeth Winstead,Heather Fitzergald,heather fitzergald,N/A
749,3,Lacey Chabert,Dana Mathis,dana mathis,N/A
749,4,Kristen Cloke,Leigh Colvin,leigh colvin,N/A
749,5,Andrea Martin,Barbara MacHenry,barbara machenry,N/A
749,6,Crystal Lowe,Lauren,lauren,N/A
749,7,Oliver Hudson,Kyle Autry,kyle autry,N/A
749,8,Karin Konoval,Mrs. Lenz,mrs lenz,N/A
749,9,Dean Friss,Agnes Lenz,agnes lenz,N/A
749,10,Robert Mann,Billy Lenz,billy lenz,N/A
749,11,Jessica Harmon,Megan Helms,megan helms,N/A
749,12,Leela Savasta,Clair Crosby,clair crosby,N/A
749,13,Kathleen Kole,Eve Agnew,eve agnew,N/A
54,0,Olivia Hussey,Jess Bradford,jess bradford,True
54,1,Keir Dullea,Peter,peter,True
54,2,Margot Kidder,Barb,barb,True
54,3,John Saxon,Lt. Fuller,lt fuller,False
54,4,Marian Waldman,Mrs. Mac,mrs mac,True
54,5,Andrea Martin,Phyl,phyl,True
54,6,James Edmond,Mr. Harrison,mr harrison,False
54,7,Doug McGrath,Sargeant Nash,sargeant nash,False
54,8,Art Hindle,Chris,chris,False
54,9,Lynne Griffin,Clare,clare,True
1198,0,Imogen Poots,Riley Stone,riley stone,N/A
1198,1,Aleyse Shannon,Kris,kris,N/A
1198,2,Lily Donoghue,Marty,marty,N/A
1198,3,Brittany O'Grady,Jesse Bradford,jesse bradford,N/A
1198,4,Caleb Eberhardt,Landon,landon,N/A
1198,5,Cary Elwes,Professor Gelson,professor gelson,N/A
1198,6,Madeleine Adams,Helena,helena,N/A
1198,7,Ben Black,Phil McIllaney,phil mcillaney,N/A
1198,8,Simon Mead,Nate,nate,N/A
1198,9,Nathalie Morris,Fran,fran,N/A
1198,10,Zoë Robins,Oona,oona,N/A
1198,11,Ryan McIntyre,Brian Huntley,brian huntley,N/A
1198,12,Mark Neilson,Gil,gil,N/A
1198,13,Lucy Currey,Lindsay,lindsay,N/A
750,0,Nathan Meister,Henry Oldfield,henry oldfield,N/A
750,1,Peter Feeney,Angus Oldfield,angus oldfield,N/A
750,2,Danielle Mason,Experience,experience,N/A
750,3,Tammy Davis,Tucker,tucker,N/A
750,4,Oliver Driver,Grant,grant,N/A
750,5,Tandi Wright,Dr. Rush,dr rush,N/A
750,6,Glenis Levestam,Mrs. Mac,mrs mac,N/A
750,7,Nick Blake,Taxi Driver,taxi driver,N/A
750,8,Matthew Chamberlain,Oliver Oldfield,oliver oldfield,N/A
792,0,Diana Glenn,Grace,grace,N/A
792,1,Maeve Dermody,Lee,lee,N/A
792,2,Andy Rodoreda,Adam,adam,N/A
792,3,Ben Oxenbould,Jim,jim,N/A
792,4,Fiona Press,Pat,pat,N/A
899,0,Barbara Streifel Sanders,Elizabeth Pierce,elizabeth pierce,N/A
899,1,Joseph Dunn,Daniel Pierce,daniel pierce,N/A
899,2,Ian Malcolm,Dylan Pierce,dylan pierce,N/A
899,3,Michael Caruso,Ethan Devane,ethan devane,N/A
899,4,Caroline Rich,Claire Devane,claire devane,N/A
899,5,Anthony Tedesco,Freddy Appleton,freddy appleton,N/A
899,6,James Martinez,Eddie Clifton,eddie clifton,N/A
646,0,Wesley Snipes,Eric Brooks/Blade,eric brooks blade,N/A
646,1,Kris Kristofferson,Abraham Whistler,abraham whistler,N/A
646,2,Ron Perlman,Dieter Reinhardt,dieter reinhardt,N/A
646,3,Leonor Varela,Nyssa Damaskinos,nyssa damaskinos,N/A
646,4,Norman Reedus,Scud,scud,N/A
646,5,Thomas Kretschmann,Eli Damaskinos,eli damaskinos,N/A
646,6,Karel Roden,Karel Kounen,karel kounen,N/A
646,7,Luke Goss,Jared Nomak,jared nomak,N/A
646,8,Matt Schulze,Chupa,chupa,N/A
646,9,Danny John-Jules,Asad,asad,N/A
646,10,Donnie Yen,Snowman,snowman,N/A
646,11,Marit Velle Kile,Verlaine,verlaine,N/A
646,12,"Darren ""Daz"" Crawford",Lighthammer,lighthammer,N/A
646,13,Tony Curran,Priest,priest,N/A
646,14,Santiago Segura,Rush,rush,N/A
686,0,Wesley Snipes,Eric Brooks/Blade,eric brooks blade,N/A
686,1,Kris Kristofferson,Abraham Whistler,abraham whistler,N/A
686,2,Ryan Reynolds,Hannibal King,hannibal king,N/A
686,3,Jessica Biel,Abigail Whistler,abigail whistler,N/A
686,4,Parker Posey,Danica Talos,danica talos,N/A
686,5,Dominic Purcell,Drake/Dracula,drake dracula,N/A
686,6,James Remar,Ray Cumberland,ray cumberland,N/A
1098,0,James Allen McCune,James,james,True
1098,1,Valorie Curry,Talia,talia,True
1098,2,Callie Hernandez,Lisa,lisa,True
1098,3,Brandon Scott,Peter,peter,True
1098,4,Wes Robinson,Lane,lane,True
1098,5,Corbin Reid,Ashley,ashley,True
586,0,Heather Donahue,Heather Donahue,heather donahue,True
586,1,Joshua Leonard,Joshua 'Josh' Leonard,joshua josh leonard,True
586,2,Michael C. Williams,Michael 'Mike' Williams,michael mike williams,True
609,0,Kim Basinger,Maggie O'Connor,maggie oconnor,N/A
609,1,Angela Bettis,Jenna O'Connor,jenna oconnor,N/A
609,2,Rufus Sewell,Eric Stark,eric stark,N/A
609,3,Christina Ricci,Cheri Post,cheri post,N/A
609,4,Holliston Coleman,Cody O'Connor,cody oconnor,N/A
609,5,Jimmy Smits,Agent John Travis,agent john travis,N/A
609,6,Michael Gaston,Detective Frank Bugatti,detective frank bugatti,N/A
609,7,Lumi Cavazos,Sister Rosa,sister rosa,N/A
609,8,Ian Holm,Reverend Grissom,reverend grissom,N/A
361,0,Kevin Dillon,Brian Flagg,brian flagg,False
361,1,Shawnee Smith,"Megan ""Meg"" Penny",megan meg penny,False
361,2,Donovan Leitch,"Paulerson ""Paul"" Taylor",paulerson paul taylor,False
361,3,Jeffrey DeMunn,"Sheriff Herbert ""Herb"" Geller",sheriff herbert herb geller,False
361,4,Candy Clark,"Francine ""Fran"" Hewitt",francine fran hewitt,False
361,5,Joe Seneca,Dr. Christopher Meddows,dr christopher meddows,True
361,6,Del Close,Reverend Jacob Meeker,reverend jacob meeker,False
361,7,Paul McCrane,"Deputy William ""Bill"" Briggs",deputy william bill briggs,False
361,8,Robert Axelrod,Jennings,jennings,False
361,9,Beau Billingslea,Moss Woodley,moss woodley,False
361,10,Michael Kenworthy,Kevin Penny,kevin penny,False
361,11,Douglas Emerson,"Edward ""Eddie"" Beckner",edward eddie beckner,False
361,12,Jamison Newlander,Anthony Beckner,anthony beckner,False
361,13,Judith Flanagan,Eddie's Mother,eddies mother,False
