Movie Index,Title,Year,Plot,Director(s),Star(s),Stripped Title,Horror Wiki Index,Horror Wiki URL
8438,Boo 2! A Madea Halloween,2017.0,"Madea, Bam, and Hattie venture to a haunted campground and the group must run for their lives when monsters, goblins, and the boogeyman are unleashed.",Tyler Perry,"Tyler Perry, Cassi Davis, Patrice Lovely, Yousef Erakat",boo 2 a madea halloween,,
8439,She Was So Pretty: Be Good for Goodness Sake,2017.0,Alfie (Jerry Larew Jr) spends his time walking the streets in search of the woman of his dreams.,Brooklyn Ewing,"Jerry Larew, Destiny Brooke Loper, Corey Rutter, Elvis McComas",she was so pretty be good for goodness sake,,
8440,Bonehill Road,2017.0,"Emily and Eden Stevens escape one violent situation only to stumble into another. Terrified and alone, they are stranded in the woods, hunted by a werewolf. When they find shelter in a ...                See full summary »",Todd Sheets,"Eli DeGeer, Ana Rojas-Plumberg, Linnea Quigley, Millie Milan",bonehill road,,
8441,I'm Dreaming of a White Doomsday,2017.0,A mother and her 8 year old son struggle to survive in a bomb shelter after an unnamed apocalypse.,Mike Lombardo,"Holly Andrew, Hope Bikle, Reeve Blazi, Damian Maffei",im dreaming of a white doomsday,,
8442,Strange Tales from Appalachia,2017.0,"Appalachian filmmakers join together to produce three horrifying, suspenseful, and strange tales. In ""Pretty Girl"", a young woman escapes a maniac kidnapper by fleeing into the Appalachian ...                See full summary »","Josh Holley, Tim Altonen","Cliff D. Andrews, W.F. Bell, Ron Capes III, Sarah Deatherage",strange tales from appalachia,,
8443,"Rock, Paper, Scissors",2017.0,"Peter ""the Doll Maker"" Harris returns to his ancestral family home after being released from the state's hospital for the criminally insane - a ""cured"" man. Once inside the old house, ...                See full summary »",Tom Holland,"Najarra Townsend, Luke Macfarlane, Maureen McCormick, Michael Madsen",rock paper scissors,,
8444,Jack Lantern,2017.0,An 80's inspired psychological thriller about a guy who can't keep his identity straight until the death of his sister.,Sophia Rivera,"Michael Jonathan, Ashley English, Christophe Parker, Lauryn Gardner",jack lantern,,
8445,Mark of Death,2017.0,An ex thief and his girlfriend are brutally killed by a group of his former associates. He is then resurrected as a female to exact revenge on their killers.,Matt Spease,"Hailee Mason, Anthony Baker, Ryan Abbott, Caitlyn Bailey",mark of death,,
8446,Revelation,2017.0,"Ex-preacher Devon Blue, now Philadelphia homicide detective investigates the evils of man. Devon Blue left the ministry to focus on using his faith in God and spiritual approach to life to ...                See full summary »",Hunter McGregor,"Eli Barron, Brad Blanchard, Kaili Dyson, Audrey LeCrone",revelation,,
8447,Unnuyayuk,2017.0,A man returns to his home town after twenty years to be plagued by strange and sinister events.,Kirby Light,"Kirby Light, Joshua Ritter, Kaytie Spellman",unnuyayuk,,
8448,House Shark,2017.0,"When he finds a shark that can travel on land residing in his home, an ex-cop enlists the help of a grizzled former real estate agent, and an eccentric ""house shark"" expert to kill the beast.",Ron Bonk,"Collin Dean, Aiden Tetro, Nathan Bonk, Trey Harrison",house shark,,
8449,Devil's Five,2017.0,"""An ancient evil unleashes a deadly computer virus hellbent on destroying humanity.""","Terry R. Wickham, Edwin M. Figueroa, George Brianka","Ralf Scheepers, Diana Noris, Kevin Cusick, Siakie Tetteh",devils five,,
8450,Lasso,2017.0,"For 100 years, stories have been told about a cult near Hackett Ranch where people have been kidnapped and never found. The owners of the ranch say they know nothing about it. Guess where this year's rodeo is?",Evan Cecil,"Sean Patrick Flanery, Lindsey Morgan, Andrew Jacobs, Benedita Pereira",lasso,,
8451,Zombie Bite,2017.0,"During a zombie pandemic, security consultant Jack Romero is bitten by a Zombie and has 3 days before he either turns into one or not, depending on his blood type, which he doesn't know. ...                See full summary »",King Jeff,"Gorio, Chuck Hollins, King Jeff, Mayaba Liebenthal",zombie bite,,
8452,Shannon Act I,2017.0,When a man falls for a sexy bombshell he finds himself an accomplice to her particular predilection: cannibalism.,Alex Anico,"Keira Keeley, J.C. Rodriguez, Sabrina Anico, Carolina Ferrer",shannon act i,,
8453,Aliens: Zone of Silence,2017.0,"After her brother mysteriously vanishes from the Mexican desert, a young woman sets out to uncover the otherworldly truth about his disappearance.",Andy Fowler,"Sarah Hester, Peter Gesswein, Jed Maheu, Vince Tula",aliens zone of silence,,
8454,Doll Murder Spree,2017.0,A group of college students join their teacher for a weekend of filming for extra credit. Documenting the local Hell House that's haunted by the family who were murdered there. Little do they know they would be trying to survive the night.,Reyna Young,"Shotzi Blackheart, Connie Jo Sechrist, Reyna Young, Moses J. Moseley",doll murder spree,,
8455,Alpha Delta Zatan,2017.0,"In a frat house where no one can be trusted, a new brother becomes the target of a masked killer.",Art Arutyunyan,"Jeremy Winter, Jake Kidwell, Connor Field, Drake Malone",alpha delta zatan,,
8456,The Nightmare Emporium,2017.0,Add a Plot,Danny Cork,"Mark Waldstein, Kris Kristensen, Sophie Aidlin",nightmare emporium,,
8457,Jigsaw,2017.0,"Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years.","Peter Spierig, Michael Spierig","Matt Passmore, Tobin Bell, Callum Keith Rennie, Hannah Emily Anderson",jigsaw,1142.0,/wiki/Jigsaw_(2017)
8458,Spook Bridge,2017.0,"""SPOOK BRIDGE"" is a horror film that follows a Reporter, Clyde Adams, a man in search of the cause of the recent mysterious deaths of teenagers on Spook Bridge. See RKDSmedia.com / SpookBridge.com for more info.",Doug Sebastian,"Roy Kirkland, Doug Sebastian, John Youmans, Domenick DeFrank",spook bridge,,
8459,Can't Take It Back,2017.0,Following a group of students who leave hateful comments on the page of a fellow pupil who recently committed suicide.,Tim Shechmeister,"Ana Coto, Noah Centineo, Ivanna Sakhno, Lexi Atkins",cant take it back,,
8460,3,2017.0,"A man and a woman kidnap her rapist in order to extract a confession, come hell or - hell.",Lou Simon,"Todd Bruno, Aniela McGuinness, Mike Stanley, Jim Adams",3,,
8461,Stay,2017.0,Psychological-Drama. A man holds a woman captive in hopes that in time she will fall in love with him.,Christopher James Cramer,"Devin Brooke, Zach Kanner, Blake Berlin, Ariel Barber",stay,,
8462,Blood Woods,2017.0,A group of criminals stumble upon a lodge after a bank heist. As they hold the owners hostage and plan their next move they encounter an evil in the woods that is hungry and will stop at nothing to feed on their flesh.,John Reign,"Dave Campbell, Allyson R. Hood, Scott Hoon, Floyd Jackson",blood woods,,
8463,Wake the Dead,2017.0,"After a near death incident leaves Kristin scarred with a terrifying connection to the Spirit World, her family attempts to break her free of an Evil Spirit's hold.",Michael Luceri,"Nadia Gillespie, Ashley Danielle Simpson, Ryan Ford, Rita Sever",wake dead,,
8464,The Corrupt Half,2017.0,A young woman's corrupted spirit haunts the new residents of the apartment she committed suicide in.,Rod Wess,"Bekah Jung, Danny Bohnen, Sabrina Jieafa, Vicki Wilkinson",corrupt half,,
8465,Purgatory Road,2017.0,"On the highways of Mississippi, a psychotic priest and his brother are on a crusade to absolve sinners with their own brand of murder.",Mark Savage,"Gary Cairns, Luke Albright, Trista Robinson, Sylvia Grace Crim",purgatory road,,
8466,Attack of the Tattie-Bogle,2017.0,A masked stranger attacks a group of friends at a cabin in remote Wisconsin.,Peter Marcy,"Rob Jones, Joe Marcy, Devon Jorlett, Marie Weiss",attack of tattie bogle,,
8467,The House That the Devil Built,2017.0,A professional ghost hunting team with their own reality television show is contracted to explore a haunted theater in a small mid-western town.,Christopher Glenn Cannon,"Lexi Ginn, Alvi Rahman, Amanda Kay, Alex Liu",house that devil built,,
8468,The Devourer,2017.0,"When a group of kids are being targeted by an evil ancient demon called, ""The Devourer."" They must stick together and find out why he's targeting them.",Justin Frey,"Justin Frey, Caleb Murray, Jayden Winter, The Real Mael",devourer,,
8469,Halloween Pussy Trap Kill! Kill!,2017.0,"Members of the all-girl punk rock band ""Kill, Pussy, Kill!"" must fight for their lives and attempt to outwit an unknown assailant after finding themselves trapped in a madman's maze.",Jared Cohn,"Sara Malakul Lane, Richard Grieco, Demetrius Stear, Lauren Parkinson",halloween pussy trap kill kill,,
8470,Drug Z,2017.0,A recently widowed woman flees to Las Vagas with her daughter to start a new life after the murder of her husband. She unknowingly brings a drug formula and sample among her husband's ...                See full summary »,Dick Smartwell,"Jess Sylvia, Brenna Daly, Mikey Anthony O'Brien, John D. Crawford",drug z,,
8471,10/31,2017.0,This is an anthology film consisting of 5 horror tales from 5 different writers.,"Justin M. Seaman, Hunter Johnson, John William Holt, Zane Hershberger, Rocky Gray, Brett DeJager","Jennifer Nangle, Aliese Kuhm, Alexandria Kuhn, Cindy Maples",10 31,,
8472,Dead Burger,2017.0,"A small group of misfits from an even smaller town fight against an army of zombies and the voodoo priest leading them, all because of a mistaken food order.",Stephen Rock,"Magdelena Ostrowski, Perry Mormack, Cayla Zalucki, David Wagner",dead burger,,
8473,Sasquatch,2017.0,"The story of a man, struggling to fight off his haunting past, who must find some way to save a summer camp from the wrath of an ancient creature.",Stephen Rock,"Dina Bonnevie, Patrick Bradford, George Long, Glen Morris",sasquatch,,
8474,Nightfall,2017.0,Add a Plot,"Gabriel Rios-Hannon, Al Rios-Hannon","Brittany Blanton, Denny Crum, David E. Dargartz, Kayla Elizabeth",nightfall,,
8475,The Dark Side of the Womb,2017.0,"A dwarf named Ed falls in love with a big woman named Linda. He cuts her open and climbs into her womb to be ""born again.""",Sam Salerno,"Wee Matt, Fay Lytle, Josh Connor, Art Roberts",dark side of womb,,
8476,The Krokodil Chronicles,2017.0,Add a Plot,Cameron Scott,"Liane Langford, Jim O'Rear, Scott Tepperman, Damien Colletti",krokodil chronicles,,
8477,Bus Party to Hell,2017.0,"When a party bus on its way to Burning Man filled with a bunch of sexy young adults breaks down in the desert and in the middle of a group of Satanic worshipers, all hell breaks loose.",Rolfe Kanefsky,"Jillian Newton, Shelby McCullough, ViDonna Michaels, Sadie Katz",bus party to hell,,
8478,Bloody Drama,2017.0,Bloody drama follows the story of a pool party involving five former college sororiety sisters attempting one last weekend blowout. While trying hard to grab onto their fun youth filled ...                See full summary »,Colin Bressler,"Cristina Cruz Rodríguez, Katusha Robert, Sky Hawkes, David Carbajal",bloody drama,,
8479,Texas Terror Tales,2017.0,An undead projectionist guides the audience through 6 very different horror films set in Texas.,"Alex Ramirez, Kellen List, Steve Garza, Mike Ettnie, David Carbajal, Elijahwan Butler","David Carbajal, Kellen List, Paulina Manseau, Mike Ettnie",texas terror tales,,
8480,Eyeless Jack,2017.0,Add a Plot,Tiernan Lachmann,"Tiernan Lachmann, Derek Mason, Tracey Richmond, Alex Wolfe",eyeless jack,,
8481,Moon Creek Cemetery,2017.0,"In the 1830's emigrants from Salem, Massachusetts fled their satanic legacy and came to settle in LaSalle County,Illinois. They brought along with them some of their more unpleasant, ...                See full summary »",Mark A. Pierce,"Mark A. Pierce, DawnMarie Ferrara, Amy Argyle, Maria Olsen",moon creek cemetery,,
8482,Hacked Off!,2017.0,Add a Plot,Mark A. Pierce,"Victoria De Mare, Maria Olsen, Megan Lee Joy",hacked off,,
8483,Project Zirus Promo,2017.0,When the government tries to make faster and stronger humans the project doesn't end well. The project becomes more powerful than they had expected.,"Maurice Nix, Maurice Nix","Amber Dawn Fox, Sarah Ellen Wright, James McDonald, James Furey",project zirus promo,,
8484,Stab 7,2017.0,Five years have passed since the events of Stab 6: Ghostface Returns. Rachel and Kylie have successfully gotten away with plotting the deaths of their reality television show cast and are ...                See full summary »,Joshua Patrick Dudley,"Joshua Patrick Dudley, Rachel Alexandria Arnold, Mark Haggett, Lindsey Klossner",stab 7,,
8485,Deadwood Falls,2017.0,"The town of Deadwood Falls is no more. On Christmas Eve 2003, all 479 men, women and children simply disappeared overnight. There were no footprints into or out of the snowbound town. ...                See full summary »",Brian Holcomb,"Gina Martino, Jeff Alchine, Kevin Baumann, John Boggi",deadwood falls,,
8486,The Bizarre Art of Samantha,2017.0,"A creature, comes to earth to tear apart worthy human beings. Administering a drug that makes his victims bodies become mechanical, The Creature retrieves the needed parts and blood, to take back to his home, for use.",Adrian Baez,"Lauren Faulkner, Kathleen Maressa, Warren Chan, Jeremy Pera",bizarre art of samantha,,
8487,The Goblin,2017.0,A boy imprisoned by an abusive recluse mother alone in a mansion in the 1920s begins to get ideas of his own when a goblin in his closet comforts him in the dark.,Wyatt Michael,"Robert Levey II, Nicole Hargrove, Josh Collins, Wyatt Michael",goblin,,
8488,The Crossbreed,2017.0,"The nightmare was about a demonic possession. A long time ago, there was an evil in a small town and it was jealous of the girl and would never let her go, since the devil loved the girl. ...                See full summary »",Biray Dalkiran,"Angela Durazo, Nathan Schellerup, Malinda Farrington, Danny Winn",crossbreed,,
8489,Fearsville 2,2017.0,"Piper(Payton Christian), and friends must deal with their loss while struggling to stay alive. With huge cast of colorful characters, the Fearsville slasher will have a whole bag full of tricks and treats to serve up this Halloween.","Emad Al Qadi, Joseph Aguon Drake","Stephanie Adlington, Cary Alder, Lilli Allen, Nancy Bailey",fearsville 2,,
8490,#murderchallenge,2017.0,A group of filmmakers attempt to debunk a series of viral videos featuring a masked assailant murdering women in a wooded area that have spawned a dangerous Internet challenge.,Michael Bilinski,"Louis Galdo, Jenna Renee, Shane Ryan, Vex X. Starskream",murderchallenge,,
8491,Isaiah 26,2017.0,Add a Plot,Michael Bilinski,,isaiah 26,,
8492,Jack Suffer,2017.0,"A killer is on the loose, he's taking prostitutes and mutilating their bodies. Detectives are not coming up with any viable suspects. Two prostitute roommates are at odds with each other ...                See full summary »",Marc Schryer,"Lexy Lee, Michael Angelo Blackwell, Al Burke, Thomas Haley",jack suffer,,
8493,Night Terrors,2017.0,Add a Plot,Marc Schryer,,night terrors,,
8494,Darker Times,2017.0,Add a Plot,Camden Fitzpatrick,"Declain Andrews, Clark Kubiak, David Merlano, Alexander Sandford",darker times,,
8495,Totem,2017.0,A teen must resort to extreme measures to protect her family from a supernatural entity.,Marcel Sarmiento,"Kerris Dorsey, Ahna O'Reilly, James Tupper, Lia McHugh",totem,,
8496,Sloan,2017.0,"When four young urban explorers hear about the dark past of a town called Sloan-which mysteriously vanished over half a century ago, they know it's the perfect setting for their next video....                See full summary »",Tim Allen Baker,"Cory Kays, Tony Teebo, Mila Kirkland, Julie Chick",sloan,,
8497,"Horror, Madness & Mayhem Vol 1 Snuff Party",2017.0,"6 snuff style shorts, from 6 different filmmakers.","Tony Walters, Splat, Kenzie Phillips, Constance Medrano, Henry F. Leon, Jason Impey, Brittany Blanton, Daniel Murphy","Brittany Blanton, Tom Komisar, Daniel Murphy",horror madness mayhem vol 1 snuff party,,
8498,The Carver,2017.0,An intense horror film that will leave you on the edge of your seat,Kenneth Hall,"Shabaka Abul-Majid, Sarah Barker, Keisha Bryant, Tanisha Bynum",carver,,
8499,Dead Head,2017.0,Jennifer is a troubled woman who moves to a Small town to escape the horrors of her past. Yet new horrors await her as a deranged Killer wants Jennifer as his next victim. Will Jennifer be able to survive the night?,"Stephen Tejas, Thomas Casper","Marianne Bourg, Freeman Lyon, Max Cutler, Christopher LeMonda",dead head,,
8500,Beyond the Trees We Die,2017.0,Add a Plot,Dalton Stout,"Mike Stanley, Sam Rucker, Tessa Goodnight, Brandon Cannon",beyond trees we die,,
8501,Chad's Dental Nightmare,2017.0,"Teenagers are dying in their sleep, apparently from fright, the night before they have dentist appointments. A young teen elicits the help of his older brother to help him investigate the ...                See full summary »",Pete Jacelone,"Chase Bolle, Matthew Woodward, Jack Caron, Brett Glassberg",chads dental nightmare,,
8502,Like.Share.Follow.,2017.0,"Garrett is a rising YouTube star. Shell is a deeply emotional fan. When they begin a romantic relationship, he's forced to question whether opening your life to strangers online is an ...                See full summary »",Glenn Gers,"Keiynan Lonsdale, Ema Horvath, Abraham Benrubi, Michael Boatman",like share follow,,
8503,Our Bloody Hallows Eve,2017.0,A twisted tale of revenge.,"Portia Marie, Barbra Driftwood","Amy, James Crimson, Bill Heinle, James",our bloody hallows eve,,
8504,The Victorian Hauntings,2017.0,A group of 5 ghost hunters decide to explore an old haunted insane asylum in a large Victorian house in Prescott Arizona. The house manifests anything that you think of creating some ...                See full summary »,John Kevin Bell,"John Kevin Bell, Marissa Blish, Trevor Blish, Christopher Clea",victorian hauntings,,
8505,Wrong Side of the Tracks,2017.0,2 young women looking for a weekend of fun get more than they bargained for on the 'Wrong Side of The Tracks'.,Dustin Ferguson,"Clint Beaver, Lia Havlena, Robert Lankford, Breana Mitchell",wrong side of tracks,,
8506,The Evil Inside,2017.0,"In the 18th Century, John Cavendish, a Scottish adventurer, arrives in Tuscany and makes his fortune from his expert knowledge of botany and agriculture. In the present day, Marcus ...                See full summary »",Carlo Baldacci Carli,"Cosetta Turco, Vittorio Boscolo, Tim Daish, Rossella Ambrosini",evil inside,,
8507,Go Mad and Mark,2017.0,"A southern blue collar construction worker has an encounter with a mysterious ""being"" that he and his family will never forget.",Michael Gorgoglione,"Faith Renee Kennedy, Mary Claire Klooster, Adam Klein, Glenn Allen",go mad and mark,,
8508,Loon,2017.0,A couple travel to a remote cabin in Montana where an encounter with an overbearing neighbor leads to a terrifying ordeal.,"Lilian Langston, Andrew Bassett","Lex Anastasia, Taylor Lennox, Jeff Medley, Maiah Wynne",loon,,
8509,Sweet Kitty,2017.0,Friends are put to the ultimate test when a Demon invades their internet startup.,Kurt Nangle,"Emilie Germain, Bret Grantham, Sean McQueen, Saif Ali",sweet kitty,,
8510,Marrtown,2017.0,"A young woman has moved back home to finish her last year of college. But when she settles back into her life, strange and terrifying events cause her to jump deep into her family's history, and deep into her own past.",Rich Rule,"Kristin Mitchem, Toni Marie Perry, Maria Olsen, Jeff Little",marrtown,,
8511,6:66 PM,2017.0,A reality TV crew's staged investigation into the paranormal becomes terrifyingly real when the house they're exploring turns out to be haunted by the ghost of a serial killer.,Jim Klock,"Jim Klock, Chad Ridgely, Alexis Kelley, Autumn Federici",6 66 pm,,
8512,Coyotes Kill for Fun,2017.0,A violent crime unfolds when a backwoods babysitter agrees to help an abused mother escape her lunatic boyfriend.,Blake Eckard,"Blanche Eckard, Harlan Eckard, Brent Jennings, Arianne Martin",coyotes kill for fun,,
8513,Sleep No More,2017.0,"A group of graduate students conduct a sleep deprivation study in the 80s, but something goes terribly wrong with a test subject. After their department is shut down, the team moves forward in secret - only this time on themselves.",Phillip Guzman,"Keli Price, Brea Grant, Stephen Ellis, Christine Dwyer",sleep no more,,
8514,Bigfoot,2017.0,"A story of a man who, after having been through a terrible accident that killed his wife and kids, is forced to spend an entire week at his vacation home in a remote area of the Rocky ...                See full summary »",Phillip Guzman,,bigfoot,,
8515,The Elf,2017.0,"Nick is haunted by night terrors stemming from a tragic murder he saw when he was young. After inheriting an old toy shop, he discovers a cursed elf doll sealed inside an ancient chest with...                See full summary »",Justin Price,"Natassia Halabi, Gabriel Miller, Lassiter Holmes, Lisa May",elf,,
8516,Zombies,2017.0,"When the world is in shambles, plagued by a zombie outbreak, only the strong will survive, but just how much determination will it take? Will Luke and his crew have enough ambition and ...                See full summary »",Hamid Torabpour,"Tony Todd, Steven Luke, Raina Hein, Amanda Day",zombies,,
8517,Slumber,2017.0,A sleep doctor tries to protect a family from a demon that feeds on people in their nightmares.,Jonathan Hopkins,"Maggie Q, Will Kemp, Sophia Wiseman, Kristen Bush",slumber,,
8518,Shucks,2017.0,"Focusing on a simplistically ritualistic man who after an attempt to escape his habitual flaws, passionately, yet unknowingly manufacturers himself into that which he chooses as consumption, eventually and ultimately consuming him.",Ty Brueilly,"Koba Brueilly, Megan Brueilly, Ty Brueilly, Austin Rich",shucks,,
8519,Prison of Death,2017.0,Add a Plot,Bradford Hamilton,"Tian Liu, Sam Krishna",prison of death,,
8520,Disjoin,2017.0,A group of ghost hunters encounter a sinister force that intends to tear their friendship apart.,"Ben Senior, Chloe Mann, Thomas Furman, Saula Chromy","Chloe Mann, Saula Chromy, Thomas Furman, Kevin Lucero Less",disjoin,,
8521,TerrorTales,2017.0,"An campy anthology of terror, horror, pain, suffering, death and destruction, with no mercy for kindergarteners.","Rob Michels, Carolyn Baker","Carolyn Baker, Rob Michels, Smila Reyes, Rik Smart",terrortales,,
8522,Leaf Blower Massacre 2,2017.0,"After finding out about the brutal murder of his fiancé, Shavar seeks revenge against a masked killer with a penchant for yard work weaponry. Fall will be the season of fear.",Anthony Cooney,"Ari Lehman, Kaylee Williams, Colleen Elizabeth Miller, Portia Chellelynn",leaf blower massacre 2,,
8523,It Kills,2017.0,A group of college kids on Fall break find themselves in a bad situation when they become stranded at the infamous Camp Blood.,Mark Polonia,"Greta Volkova, Wyatt Wood, Mel Heflin, Titus Himmelberger",it kills,,
8524,The Body Tree,2017.0,"A group of Americans travel to Siberia to honor the memory of their murdered friend, and uncover a plot which threatens their lives.",Thomas Dunn,"Erica Dasher, Emma Dumont, Kyle Jones, Ivanna Sakhno",body tree,,
8525,The Demonic Dead,2017.0,"There is a demon possessed Serial Killer on a rampage. Her name is Maria Cruz and she has an army of the living dead at her disposal. The body count is rising when a heretic, Reno Peña, is ...                See full summary »",Rick Vargas,"Eric Roberts, Ronee Collins, Arben Selimi, Katrina Schmidt",demonic dead,,
8526,Pete,2017.0,Story about a Serial killer named Pete.,Allison Albano Knight,"David Parisian, Allison Albano Knight, Ammar Abraham, Brittany Baker",pete,,
8527,Jagged Mind,2017.0,Add a Plot,Chris Copeskey,"Michael Rayborn, Christopher Michael Griffin, Sadie Hebert, Michael D. Anglin",jagged mind,,
8528,Karpenter,2017.0,A killer is on the loose in a small town. One girl must face this psychopathic serial killer in order to survive this one night during hallows eve.,Christian Ackerman,"Danielle Ackerman, Don Earl, Riley Earl, Lydia Jessop",karpenter,,
8529,Halloween: The Curse of Haddonfield,2017.0,Michael Myers returns to Haddonfield to kill his last living relative.,Bret Michael,"Brayden Alexander, Berkley Alyn, Deborah Ann, Kristine Ann",halloween curse of haddonfield,,
8530,ZBurbs,2017.0,"When a suburban housewife discovers that her husband has become a Zombie with an appetite for human flesh, she fights to keep him well fed and out of government clutches.",Greg Zekowski,"Gina Hecht, Bill Oberst Jr., Marieh Delfino, Michael Sorich",zburbs,,
8531,Killer Christmas,2017.0,A slow-burn suspense Christmas horror where six friends explore an abandoned hotel near a Christmas tree lot only to find themselves being murdered one-by-one by someone in a Santa mask.,"Tony Shaker, PeterPaul Shaker","Malcolm Xavier, PeterPaul Shaker, Sherry Shaker, Matt Maretz",killer christmas,,
8532,The Houses October Built 2,2017.0,"Recovering from the trauma of being kidnapped last Halloween by the Blue Skeleton - a group who take ""extreme haunt"" to another level - five friends decide they must face their fears in ...                See full summary »",Bobby Roe,"Brandy Schaefer, Zack Andrews, Mikey Roe, Bobby Roe",houses october built 2,,
8533,Mirror Image,2017.0,A girl is possessed and kills her own twin sister.,"Justin Jones, Chris W. Freeman","April Eden, Thomas Downey, Eve Mauro, Ed O'Ross",mirror image,,
8534,Black Friday,2017.0,"During the Thanksgiving season, Aliens, dormant for years, finally set their plans to conquer Earth into motion. The only thing standing in their way are two clueless friends who, with a ...                See full summary »",Crescentia Volz,"Megan Frankovich, Ben Johnson, Jayme Schmitt, Meghan Lynne",black friday,,
8535,Fear Level,2017.0,"Increased level of fear, six colliding stories, one roller coaster ride of emotions and terror. What would you do if you caught your significant other in the act or was face to face with ...                See full summary »",Jd Allen,"Jaylon Allen, Jshaun Allen, McKenzie Arviso, Jake Arvizo",fear level,,
8536,Things 4,2017.0,"Monsters are real, they came from outer space and they are here to destroy the world - unless we can stop them.","Thera Min, Dennis Devine","Andrea Martina, Thera Min, Kelly Erin Decker, Sally Mullins",things 4,,
8537,Blood Child,2017.0,"Bill and Ashely DiAngelo seem to have it all, an overseas posting to Singapore, life in paradise and a new baby on the way. But tragedy strikes when she loses the baby and sinks into a deep depression.",Jennifer Phillips,"Alyx Melone, Cynthia Lee MacQuarrie, Biden Hall, Lisa Kovack",blood child,,
8538,Grandma Werewolf,2017.0,"When a dysfunctional family goes to their recently widowed grandmother's cabin for Thanksgiving, they find out that their grandmother is actually a werewolf.",Zachary Will,"James Wosochlo, Trevor Brooks, America Ramos, Tricia Harmon",grandma werewolf,,
8539,First House on the Hill,2017.0,Four friends decide to spend a weekend in a Malibu mansion owned by an old lady. The situation is flipped upside down once they come across an ancient haunted tarot deck that will change the fate of their lives.,Matteo Saradini,"Helene Udy, Eugenia Kuzmina, Sonja Kinski, Paola Saulino",first house on hill,,
8540,Freaks,2017.0,What happens in a world gone mad - when it becomes brother against brother??,"Greg Zekowski, Michael Crabtree","Ian Alda, Gail Cronauer, Marieh Delfino, Jonathan Freeman",freaks,,
8541,Friends Don't Let Friends,2017.0,A violent breakup leaves one man dead and a group of friends dispatched into the desert to dispose of the evidence. Friendships are tested as the group push the boundaries of what can be done in the name of being there for a friend.,James S. 'Jamie' Brown,"Brittany Anne Woodford, Jenny Curtis, Kanin Guntzelman, Mark Hatfield",friends dont let friends,,
8542,Mercy Christmas,2017.0,"When Michael Briskett meets the perfect woman, his ideal Christmas dream comes true when she invites him to her family's holiday celebration. Dreams shattered, Michael struggles to survive once he realizes HE will be Christmas dinner.",Ryan Nelson,"Cole Gleason, Casey O'Keefe, David Ruprecht, Gwen Van Dam",mercy christmas,,
8543,The Red Resurrection,2017.0,"Now 'resurrected' from a living death, a fearful and fractured young woman must overcome, not only the memories of what she was, but the monsters and men created by a deadly plague.",Matt Long,"Rick Boling, Daniel Cutteridge, Matt Long, Michael Marks",red resurrection,,
8544,An Accidental Zombie (Named Ted),2017.0,"Ted knows he's not a zombie. He just picked up a ""skin thing"" on his vacay in The Caribbean. But his hilariously kooky family is not convinced, especially after he brings home a hot vampire he met in group therapy.",Anne Welles,"Naomi Grossman, Kane Hodder, Cameron McKendry, Gary Anthony Williams",an accidental zombie named ted,,
8545,The God of Death,2017.0,"LA Detective Aiden Smith takes down Drug Lord and Cop Killer Damian Espinado, but all goes to hell as Damian returns to life by surrendering his body and becoming a vessel for the God of Death.",R.R. Baker,"Tatiane Amnuar, J'Antonio Baguez, Brittany Baker, R.R. Baker",god of death,,
8546,Demon,2017.0,"When the embodiment of evil rises to destroy Earth and all that we know, can the human race defend itself or will it succumb to the forces of evil. When you enter the world of this terrifying new anthology, things are never what they seem.",Dallas King,"Ramon Antonio, Michael Dionne, Thai Edwards, Chris Kelly",demon,,
8547,Inoperable,2017.0,"A young woman wakes up in a seemingly evacuated hospital with a hurricane approaching that has awakened malevolent forces inside. She realizes she must escape the hospital before the hurricane passes, or she will be trapped there forever.",Christopher Lawrence Chapman,"Danielle Harris, Jeff Denton, Katie Keene, Cryss Cordero",inoperable,,
8548,Punk's Undead,2017.0,Add a Plot,Chaton Anderson,"Kelly Mantle, Tihomir Dukic, Kyle Sherwood",punks undead,,
8549,Hitchhiker Massacre,2017.0,Beautiful young Hitchhikers are being slaughtered on the desert highways by a cannibalistic madman. Sally is trying to make her way back home when she's picked up by the killer - can she ...                See full summary »,James L. Bills,"Ely LaMay, John Blyth Barrymore, Calista Carradine, Rocky Christopher",hitchhiker massacre,,
8550,Crocodylus,2017.0,A dark secret is unearthed by a local farmer. Local Paleontologists reveal its the remains of a prehistoric monster Crocodylus. It's trible seal has been broken unleashing terror upon the local towns people.,Myles Erfurth,"Antoni Corone, Noa Lindberg, Roberto Escobar, Dawn Soleri",crocodylus,,
8551,Dead End Demon,2017.0,Just when they thought things were back to normal.,Jordan F. Ghanma,"Cynthia Aileen Strahan, Marcus D. Spencer, Bianca Von Krieg, Vermyttya Erahn",dead end demon,,
