Movie Index,Title,Year,Plot,Director(s),Star(s),Stripped Title,Horror Wiki Index,Horror Wiki URL
4447,Immortal Island,2011.0,"When DEA agents are called to a beach crime scene, they discover a missing college girl drifting alone in a drug-runners boat. As she recalls her island trip of a lifetime, the ...                See full summary »","Robert W. Sterrett III, Joe Knee","Christian Campbell, Brian Drolet, Eric Scott Woods, Stacia Crawford",immortal island,,
4448,The Victorville Massacre,2011.0,"A group of nine friends decide to spend Labor Day in the desert town of Victorville. Meanwhile, for the first time in it's less than illustrious history, Victorville finds itself terrorized...                See full summary »",Riley Wood,"Patrick Atherton, Chris Bailey, Briana Baker, Kevin Brown",victorville massacre,,
4449,Prisoners of the Dead,2011.0,"A group of convicts have found themselves stuck between the living and the bloodthirsty undead. The world as we know it is changing, a deadly virus has hit the United States. In the heart ...                See full summary »","Stephanie Wlosinski, Adam R. Steigert","Richard Satterwhite, Daniel George, Kyle Andrews, Sara Manzella",prisoners of dead,,
4450,King of the Underground,2011.0,"Part true story, part fiction, King of the Underground is a dark comedy about a frustrated rap artist who goes on an all out murderous killing spree after years of being rejected by the music industry.",Dex Elliott Sanders,"Dex Elliott Sanders, Paula Jai Parker, Faizon Love, Reginald Ballard",king of underground,,
4451,The Inner Room,2011.0,"While visiting a cabin with her husband, Julianne becomes disturbed with horrific visions which question her sanity.",Jack Gastelbondo,"Jessica Duffy, Marty Lindsey, David Dalton, Kristin Keating",inner room,,
4452,"L.A., I Hate You",2011.0,"Inspired by true events, L.A., I HATE YOU intertwines three tales of sex, violence, redemption, murder and unthinkable twists all taking place in the City of Angels; Los Angeles. When a ...                See full summary »",Yvan Gauthier,"Warren Ostergard, Paul Conway, Rebecca Da Costa, Paul Sloan",l a i hate you,,
4453,Bunker of Blood,2011.0,Add a Plot,George Bonilla,"Jeffrey Wayne Smith, Russ Croley, Stacey T. Gillespie, Frank Santoroski",bunker of blood,,
4454,Pandora's Nightmares,2011.0,Add a Plot,Joshua Nelson,"Charles Barrows, Natalie Bowden, Kyle Bradley, Alfred Cantilina",pandoras nightmares,,
4455,Death Rattle LSD,2011.0,Add a Plot,Ron Atkins,"Lawrence Bucher, Stella McKinney",death rattle lsd,,
4456,A Cadaver Christmas,2011.0,"United by terrifying and bizarre circumstances, the janitor, the drunk, the bartender, the cop, his perp, and the student security guard must fight to undo the professor's work. A dark ...                See full summary »",Joe Zerull,"Daniel Rairdin-Hale, Hanlon Smith-Dorsey, Yosh Hayashi, Ben Hopkins",a cadaver christmas,,
4457,Deadly Detour,2011.0,"Two carloads of friends are heading to Florida, the only thing on their minds: sex, booze, drugs and rock and roll. Engine trouble leaves the group stranded in rural Maryland, home of the ...                See full summary »",Mike O'Mahony,"James Costa, Corinne Liz, Jon Owens, Stacie Hartman",deadly detour,,
4458,Behind Your Eyes,2011.0,A couple. A kidnapping. A secret. A weekend to meet the parents becomes a weekend of trying to stay alive for perfect couple Steven and Erika.,Clint Lien,"Frida Farrell, Tom Sandoval, Daniel Fanaberia, Arthur Roberts",behind your eyes,,
4459,I Hate L.A.,2011.0,Big laughs mix with gory kills in this TWILIGHT ZONE inspired suspense tale when tension in Hollywood boils over and its inhabitants finally reveal the flawed monsters they really are.,"Barbara Stepansky, Tyrrell Shaffner, Maude Michaud, Heidi Hornbacher, Elisabeth Fies, Brenda Fies","Keiko Agena, Cindy Baer, Alice Johnson Boher, Lisa Di Capa",i hate l a,,
4460,The Quarry: 2011,2011.0,"Fall Break in Knoxville, Tennessee, 2010. Four college students escape for a few days to camp at a local deserted quarry. They were not alone. Their camera was found two days later. The investigation is still open.",Jeff Joslin,"Javan Joslin, Andres Diaz, Jeff Joslin, Justice Joslin",quarry,,
4461,One Year to Hell,2011.0,"David was an all-round bad person. He was horrible to everyone in his life, including his wife. Shortly after dying of cancer, David is approached by a mysterious man named Jack. Jack gives...                See full summary »",Drew Kochera,"Scott M. Helling, Elizabeth Pietrzak, Joe Hammerstone, Shannon Burgdorf",one year to hell,,
4462,Ninja Zombies,2011.0,"What do you get when you combine the deadly ninja with the horrific zombie? Amazing action sequences, suspense and scares, gore, violence and plenty of laughs! On the surface, Ninja Zombies...                See full summary »",Noah Cooper,"Michael Castro, Pamela Chan, Adam Discko, Kylie Gellatly",ninja zombies,,
4463,Bee Dead,2011.0,"Nathan Reynolds, is a young man who has to fight against the odds to stop the zombie apocalypse, all while trying to make a school documentary with his two pot-head roommates, and win the love of his fellow classmate, Julie.",Philip Hirzel,"Debbie Alderman, Blake Barringer, Stephen Delucia, Phoenix Harper",bee dead,,
4464,Evil Bong 3: The Wrath of Bong,2011.0,"An evil alien bong crashes on earth. Its intent: world domination. Our stoner heroes are sent to the alien bong planet and held captive by nude alien beauties. Their only hope to escape and save planet earth: Eebee, the original Evil Bong.",Charles Band,"Christina DeRosa, Irwin Keyes, Robin Sydney, Sonny Carl Davis",evil bong 3 wrath of bong,,
4465,The Bride of Diablo Canyon,2011.0,"After a weekend in Vegas, 3 friends encounter some strange events and even stranger people during their drive back to California. But this isn't your typical horror movie... You'll find ...                See full summary »",David Heynen,"Lou Demeis, Brooke Siffrinn, Tj Cantwell, Ronni Lea",bride of diablo canyon,,
4466,Scream 4,2011.0,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",Wes Craven,"Neve Campbell, Courteney Cox, David Arquette, Lucy Hale",scream 4,953.0,/wiki/Scream_4_(2011)
4467,Miss December,2011.0,"Chosen by the man himself, the Kevin Smith Movie Club presents Miss December. Fear strikes Philadelphia when a serial killer begins to monthly stalk and butcher one female victim to add to his calender.",Derek Lindeman,"Corbin Bernsen, Gilbert Gottfried, Brian O'Halloran, Chris Raab",miss december,,
4468,Mask Maker,2011.0,"When a young, deformed boy witnesses his mother's death, he comes back to take revenge on anyone who dares enter his property.",Griff Furst,"Nikki Deloach, Stephen Colletti, Anabella Casanova, Ross Britz",mask maker,,
4469,Bite Me Back II,2011.0,"Two roommates, Mike and Greg, struggle with school, socializing and trying to meet girls as zombies overtake the school and Mike and Greg are left to fight them off. It all begins with ...                See full summary »","Alcee H. Walker, Mike Barry","Brian Barry, Mike Barry, Steve Horowitz, Houston Judd",bite me back ii,,
4470,The Forest,2011.0,"By taking her own life in the infamous Suicide Forest of Mount Fuji, a sexy American cover-girl supernaturally transforms into a demonic spirit to wreak a violent revenge, one by one, upon those who helped her ex-boyfriend leave her.",Shan Serafin,"Aidan Bristow, Kai Elle, Michael Madsen, Johnny Young",forest,,
4471,Some Guy Who Kills People,2011.0,"Ken Boyd, a lonely man fresh out of the loony bin, who sets out to kill those he deems responsible for his miserable life.",Jack Perez,"Kevin Corrigan, Barry Bostwick, Karen Black, Leo Fitzpatrick",some guy who kills people,,
4472,Chop,2011.0,"Lance Reed is forced by a psychotic stranger to confront his duplicitous past. Seeking retribution for a crime, the man forces Lance to reveal his inner most secrets by systematically removing his limbs.",Trent Haaga,"Will Keenan, Timothy Muskatell, Chad Ferrin, Max Haaga",chop,,
4473,The Man in the Maze,2011.0,"While doing research in the woods, four college friends find a cursed Indian burial mound and find themselves trapped in a mysterious maze, followed by a terrifying force.",Mitesh Kumar Patel,"Andrew Roth, Liana Werner-Gray, Devlin Wilder, Stephanie Lomenick",man in maze,,
4474,Zombie Apocalypse: Redemption,2011.0,"In a world where zombies outnumber humans 10,000 to one, it is impossible to tell the difference between men and the monsters.",Ryan Thompson,"Johnny Gel, Fred Williamson, Joseph Scott Anthony, Tommy Beardmore",zombie apocalypse redemption,,
4475,Blood Canvas,2011.0,"A team of 13 actors and filmmakers get together to shoot a film entitled ""Blood Canvas"" in ONE DAY! This film is a story about an artist named Simon who holds a reunion at his private ...                See full summary »",Sridhar Ranganath,"Brien Perry, Karin Duseva, Sarah Agor, Jaime Zevallos",blood canvas,,
4476,Cult Movie,2011.0,"In the third of the J.P. Ritter series, he takes on the media bias against a religious cult called ""The True Hand."" With his new assistant in tow, J.P. heads out to an Eastern California ...                See full summary »",Athen Ritter,"Mitchell Chrisenberry, David Henry, Kat Steel, Gerard Marzilli",cult movie,,
4477,Hyenas,2011.0,Roving clans of shape-shifting human/hyena creatures prowl and hunt for human prey. They are hunted by one man seeking revenge for the death of his loved ones.,Eric Weston,"Maria Bertrand, Meshach Taylor, DaJuan Johnson, Jon Seminara",hyenas,,
4478,The Bleeding House,2011.0,"A stranger with mysterious intentions comes to stay the night at a secluded country home, but what he finds inside is a family torn apart by a violent past and a secret more deadly than he expected.",Philip Gelatt,"Patrick Breen, Alexandra Chando, Nina Lisandrello, Henderson Wade",bleeding house,,
4479,The Reunion,2011.0,"The story revolves around Braxton & Ben, two childhood friends who end up in the drug trade. When Ben is sent to jail, Braxton decides to call it quits and become an honest businessman. Ben...                See full summary »",Jeff Stewart,"Kirk Ponton, Michael Markiewicz, Aaron Ronnie Almani, Raine Brown",reunion,,
