Horror Wiki Index,char index,actor,character,stripped character,killed,actor url,race,gender
1205,1,Kyle Chandler,Mark Russell,mark russell,,http://www.nndb.com/people/629/000067428/,White,Male
1205,2,Millie Bobby Brown,Madison Russell,madison russell,,,Unlisted,Unlisted
1205,3,Ken Watanabe,Dr. Ishiro Serizawa,dr ishiro serizawa,,http://www.nndb.com/people/416/000110086/,Asian/Indian,Male
1205,4,Sally Hawkins,Dr. Vivienne Graham,dr vivienne graham,,http://www.nndb.com/people/640/000347596/,White,Female
1205,5,Bradley Whitford,Dr. Rick Stanton,dr rick stanton,,http://www.nndb.com/people/854/000102548/,White,Male
1205,6,Thomas Middleditch,Sam Coleman,sam coleman,,http://www.nndb.com/people/435/000400232/,White,Male
1205,7,O'Shea Jackson Jr.,Jackson Barnes,jackson barnes,,,Unlisted,Unlisted
1205,8,Charles Dance,Alan Jonah,alan jonah,,http://www.nndb.com/people/373/000045238/,White,Male
1205,9,Zhang Ziyi,Dr. Ilene Chen and Dr. Ling Chen,dr ilene chen and dr ling chen,,,Unlisted,Unlisted
501,0,Elijah Wood,Mark Evans.,mark evans,,http://www.nndb.com/people/765/000022699/,White,Male
501,1,Macaulay Culkin,Henry Evans,henry evans,,http://www.nndb.com/people/682/000022616/,White,Male
501,2,Wendy Crewson,Susan Evans,susan evans,,http://www.nndb.com/people/158/000111822/,White,Female
501,3,David Morse,Jack Evans,jack evans,,http://www.nndb.com/people/454/000064262/,White,Male
501,4,Daniel Hugh Kelly,Wallace Evans,wallace evans,,http://www.nndb.com/people/060/000130667/,White,Male
501,5,Jacqueline Brookes,Alice Davenport,alice davenport,,,Unlisted,Unlisted
501,6,Quinn Culkin,Connie Evans,connie evans,,,Unlisted,Unlisted
501,7,Ashley Crow,Janice Evans,janice evans,,,White,Female
2,0,Judy Geeson,Jacki,jacki,,http://www.nndb.com/people/142/000132743/,White,Female
2,1,Martin Potter,Julian,julian,,http://www.nndb.com/people/345/000210712/,White,Male
2,2,Michael Redgrave,James Harrington-Smith,james harrington smith,,http://www.nndb.com/people/400/000079163/,White,Male
2,3,Mike Pratt,Rod Barstowe,rod barstowe,,,Unlisted,Unlisted
2,4,Alexis Kanner,Clive Landseer,clive landseer,,,Unlisted,Unlisted
2,5,Freddie Jones,David Curry,david curry,,http://www.nndb.com/people/251/000140828/,White,Male
2,6,Marion Diamond,Denise Pryce-Fletcher,denise pryce fletcher,,,Unlisted,Unlisted
945,0,Sean Rogerson,Lance Preston,lance preston,False,,Unlisted,Unlisted
945,1,Ashleigh Gryzko,Sasha Parker,sasha parker,True,,Unlisted,Unlisted
945,2,Merwin Mondesir,T.C. Gibson,tc gibson,True,,Unlisted,Unlisted
945,3,Mackenzie Gray,Houston Grey,houston grey,True,,White,Female
945,4,Juan Riedinger,Matt White,matt white,True,,White,Male
