Movie Index,Title,Year,Plot,Director(s),Star(s)
3691,Survive!,2009,"A married couple on their honeymoon stop off at a back-woods garage to get their car repaired, unaware of what sheer terror is in store for them. What will it take to survive?",Jeff Chitty,"Amanda Harrison, Bill Headburg, Mike Ducey, Tina Krause"
3692,Psychopath,2009,"Sarah misses a desperate call from her stranded sister sets off with friends to find her in the backwoods town of Raven's Neck, home to a brutal escaped mental patient.",Robert Elkins,"Kyle Billeter, Glenn Leftwich, Lawrence Wiencek, DaNae West"
3693,Room 33,2009,"A group of friends on a road trip seek shelter at a mental institution in the woods, only to discover that the building is the home of a mysterious young girl named Roxy whose unsettling ...                See full summary »",Edward Barbini,"Chad Michael Collins, Nicole Dionne, Ace Gibson, Nina Hauser"
3694,Mantra,2009,"A graphic, unflinching depiction of six people's inner demons.",Brian Wimer,"Doug Bari, Bob Dorsey, Lora Lee Jones, Callisto Warner"
3695,The Ritual,2009,"A serial killer begins the process of grooming a protégé, until outside influences threaten to destroy their sadistic relationship.",Anthony Spadaccini,"Paul McCloskey, Barbara Lessin, Brinke Stevens, Michael J. Panichelli Jr."
3696,Caesar and Otto's Summer Camp Massacre,2009,"Caesar, an effete tough guy and his slovenly half brother, Otto, have signed up as summer camp counselors. But when the mysterious Carrie shows up, the other counselors start disappearing one by one.",Dave Campfield,"Dave Campfield, Paul Chomicki, Felissa Rose, Brinke Stevens"
3697,The Green Monster,2009,What would you do to stay beautiful forever? What would you give to have a loved one back for good? Welcome to Gerald's Hungry Shack! Your one stop shop for all your material needs. Where ...                See full summary »,"Nolan Ball, Bryan Andrew","Edward X. Young, Colleen Cohan, Bellamy Saville, Kachina Dechert"
3698,The Revenant,2009,"In Los Angeles, a fallen soldier who has joined the ranks of the living dead reunites with his best friend in order to deal with the city's drug dealers and killers - a perfect way to collect the blood that one of them so desperately needs.",D. Kerry Prior,"David Anders, Chris Wylde, Louise Griffiths, Jacy King"
3699,The Slasher,2009,Edison Gorski's day to day life becomes boring and reality starts to fade into a bad horror movie.,James Neyman,"Jake McGee, Jenna Gruttadauria, April Needham, Nick Schoren"
3700,Halloween Homecoming,2009,Add a Plot,Tory Jones,"Stacey T. Gillespie, Sebrina Scott, Jason Crowe, John Cory Stringer"
3701,Jingles the Clown,2009,"Angela Nelson returns home to the place where she witnessed her family slaughtered by the notorious killer clown, Mr. Jingles. Accompanied by a team of paranormal experts, they set out to ...                See full summary »",Tommy Brunswick,"John Anton, April Canning, Virginia Bryant, Tevis R. Marcum"
3702,Cabin Fever 2: Spring Fever,2009,A high school prom faces a deadly threat: a flesh-eating virus that spreads via a popular brand of bottled water.,Ti West,"Rider Strong, Noah Segan, Alexi Wasser, Rusty Kelley"
3703,The Minstrel Killer,2009,A racist cop and his partner track down a serial killer murdering white woman using slave torture techniques.,Michael Fredianelli,"Michael Fredianelli, Anthony Spears, E.C. Andersen, Vanessa Celso"
3704,The Taken,2009,Add a Plot,Richard Valentine,"Jessica Valentine, Brian Berry, Kathryn Coutu, Dex Manley"
3705,Forget Me Not,2009,Recent high school graduates become prey of the vengeful spirit of an innocent girl they wronged long ago.,Tyler Oliver,"Carly Schroeder, Cody Linley, Brie Gabrielle, Micah Alberti"
3706,Fox Force,2009,Five girls kidnap a serial rapist... to seek revenge.,Nathan Hill,"Candice Day, Naomi Davis, Sash Milne, Allie Hall"
3707,The Final Destination,2009,"After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end.",David R. Ellis,"Nick Zano, Krista Allen, Andrew Fiscella, Bobby Campo"
3708,Across the Hall,2009,"A thriller about a standoff between a young man, his fiancée and his best friend who comes to his aide.",Alex Merkin,"Mike Vogel, Danny Pino, Brittany Murphy, Brad Greenquist"
3709,Offspring,2009,"Against the backdrop of grisly murders and child abductions, a clan of cannibalistic savages which plague the North-east Coast since 1858, is after an unsuspecting family and their innocent baby girl. Do they have what it takes to survive?",Andrew van den Houten,"Jessica Butler, Kelly Carey, Holter Graham, T.J. Graye"
3710,Halloween II,2009,"Laurie Strode struggles to come to terms with her brother Michael's deadly return to Haddonfield, Illinois; meanwhile, Michael prepares for another reunion with his sister.",Rob Zombie,"Scout Taylor-Compton, Tyler Mane, Malcolm McDowell, Sheri Moon Zombie"
3711,Health Freaks,2009,"Alex and Joe are two best friends who fight with mutants, energy drinks, and Jehovah's Witnesses.",Jack Beranek,"Michael Alcott, Sue Alcott, Ashley Allen, Heather Amos"
3712,Night of the Demons,2009,"A group of kids go to a Halloween party, only to have to face down a group of demons.",Adam Gierasch,"Tatyana Kanavka, Michael Arata, Shannon Elizabeth, Linnea Quigley"
3713,Shadow Falls Memorial,2009,Tales of mystery and terror intersect when Billy Pilgrim learns of his destiny to find the fabled River Child and bring her back to Shadow Falls.,Kendal Sinn,"Ari Bavel, Craig Boyd, Sally Bremenkamp, Amanda Harrison"
3714,Night of the Living Dead: Reanimated,2009,"Night of the Living Dead: REANIMATED features the work of various artists, animators, and filmmakers from around the globe. The mixed media featured include puppetry, CGI, hand-drawn ...                See full summary »",Mike Schneider,"William Burchinal, Bill Cardille, Marilyn Eastman, Karl Hardman"
3715,Faces,2009,"Two Ghouls make scary faces, some to scare, and some for laughs. They live in darkness, and challenge the living to - think. Sometimes they wish to spread fear, other times they are ...                See full summary »",Thomas R. Dickens,"Ffej Snekcid, Samoht R. Snekcid"
3716,Hellbinders,2009,A supernatural battle for souls plays out on the streets with lots of guns and knives.,"David Wald, Hiro Koda, Mitch Gould","Ray Park, Johnny Yong Bosch, Esteban Cueto, Richard Cetrone"
