Horror Wiki Index,char index,Stripped Title,Year,character
975,2,chernobyl diaries,2012,Natalie
975,3,chernobyl diaries,2012,Michael
975,4,chernobyl diaries,2012,Zoe
975,5,chernobyl diaries,2012,Paul
975,6,chernobyl diaries,2012,Amanda
589,0,children of corn 666 isaacs return,1999,Dr.michaels
589,1,children of corn 666 isaacs return,1999,Rachal
589,2,children of corn 666 isaacs return,1999,Matt
589,3,children of corn 666 isaacs return,1999,Jesse
589,4,children of corn 666 isaacs return,1999,Cora
589,5,children of corn 666 isaacs return,1999,Isaac
589,6,children of corn 666 isaacs return,1999,Jake
483,0,children of corn ii final sacrifice,1992,Mrs Garret
483,1,children of corn ii final sacrifice,1992,Bobby Knite
483,2,children of corn ii final sacrifice,1992,Wayde McKenzie
483,3,children of corn ii final sacrifice,1992,Mrs. Burke
483,4,children of corn ii final sacrifice,1992,David Simpsons
483,5,children of corn ii final sacrifice,1992,Dr. Richard Appleby
483,6,children of corn ii final sacrifice,1992,Mrs. West
483,7,children of corn ii final sacrifice,1992,Sheriff William Blaine
483,8,children of corn ii final sacrifice,1992,Reverend Hollings
483,9,children of corn ii final sacrifice,1992,Mary Simpson
483,10,children of corn ii final sacrifice,1992,The rest of the town
483,11,children of corn ii final sacrifice,1992,Frank Redbear
483,12,children of corn ii final sacrifice,1992,Cult Member
483,13,children of corn ii final sacrifice,1992,Micah
483,14,children of corn ii final sacrifice,1992,Children
483,15,children of corn ii final sacrifice,1992,Corn
483,16,children of corn ii final sacrifice,1992,adsfahn
536,0,children of corn iv gathering,1996,Deputy Cesar
536,1,children of corn iv gathering,1996,Old Man
536,2,children of corn iv gathering,1996,Sandra Atkins
536,3,children of corn iv gathering,1996,Deputy Eugenio Derbez
536,4,children of corn iv gathering,1996,Sheriff Biggs
536,5,children of corn iv gathering,1996,Dr. Larson
536,6,children of corn iv gathering,1996,Margaret Rhodes
536,7,children of corn iv gathering,1996,Anne
536,8,children of corn iv gathering,1996,Josiah
536,9,children of corn iv gathering,1996,Insect
627,0,children of corn revelation,2001,
