Horror Wiki Index,Title,Year,Horror Wiki URL
277,The Bride (1985),1985,/wiki/The_Bride_(1985)
278,Cat's Eye (1985),1985,/wiki/Cat%27s_Eye_(1985)
279,Creature (1985),1985,/wiki/Creature_(1985)
280,Day of the Dead (1985),1985,/wiki/Day_of_the_Dead_(1985)
281,Demons,1985,/wiki/Demons
282,Friday the 13th: A New Beginning,1985,/wiki/Friday_the_13th:_A_New_Beginning
283,Fright Night (1985),1985,/wiki/Fright_Night_(1985)
284,Galaxy Invader,1985,/wiki/Galaxy_Invader
285,Ghoulies,1985,/wiki/Ghoulies
286,The Hills Have Eyes Part II (1985),1985,/wiki/The_Hills_Have_Eyes_Part_II_(1985)
287,Howling II: Your Sister Is a Werewolf,1985,/wiki/Howling_II:_Your_Sister_Is_a_Werewolf
288,Lifeforce,1985,/wiki/Lifeforce
289,Night Train to Terror,1985,/wiki/Night_Train_to_Terror
290,Phenomena,1985,/wiki/Phenomena
291,Re-Animator,1985,/wiki/Re-Animator
292,The Return of the Living Dead (1985),1985,/wiki/The_Return_of_the_Living_Dead_(1985)
293,Silver Bullet,1985,/wiki/Silver_Bullet
294,The Stuff,1985,/wiki/The_Stuff
295,The Abomination (1986),1986,/wiki/The_Abomination_(1986)
296,Aliens (1986),1986,/wiki/Aliens_(1986)
297,April Fool's Day (1986),1986,/wiki/April_Fool%27s_Day_(1986)
298,Chopping Mall (1986),1986,/wiki/Chopping_Mall_(1986)
299,Critters (1986),1986,/wiki/Critters_(1986)
300,Deadly Friend (1986),1986,/wiki/Deadly_Friend_(1986)
301,Deadtime Stories,1986,/wiki/Deadtime_Stories
302,Demons 2,1986,/wiki/Demons_2
303,The Fly (1986),1986,/wiki/The_Fly_(1986)
304,Friday the 13th Part VI: Jason Lives,1986,/wiki/Friday_the_13th_Part_VI:_Jason_Lives
305,From Beyond,1986,/wiki/From_Beyond
306,Henry: Portrait Of A Serial Killer (1986),1986,/wiki/Henry:_Portrait_Of_A_Serial_Killer_(1986)
307,The Hitcher (1986),1986,/wiki/The_Hitcher_(1986)
308,House (1986),1986,/wiki/House_(1986)
309,Invaders from Mars (1986),1986,/wiki/Invaders_from_Mars_(1986)
310,Lucker the Necrophagous,1986,/wiki/Lucker_the_Necrophagous
311,Maximum Overdrive,1986,/wiki/Maximum_Overdrive
312,My Demon Lover,1986,/wiki/My_Demon_Lover
313,Night of the Creeps,1986,/wiki/Night_of_the_Creeps
314,Psycho III,1986,/wiki/Psycho_III
315,Rawhead Rex,1986,/wiki/Rawhead_Rex
316,Slaughter High,1986,/wiki/Slaughter_High
317,Something in the Basement,1986,/wiki/Something_in_the_Basement
318,Sorority House Massacre (1986),1986,/wiki/Sorority_House_Massacre_(1986)
319,Spookies,1986,/wiki/Spookies
320,TerrorVision,1986,/wiki/TerrorVision
321,The Texas Chainsaw Massacre 2,1986,/wiki/The_Texas_Chainsaw_Massacre_2
322,Troll,1986,/wiki/Troll
323,A Nightmare on Elm Street 3: Dream Warriors (1987),1987,/wiki/A_Nightmare_on_Elm_Street_3:_Dream_Warriors_(1987)
324,Angel Heart (1987),1987,/wiki/Angel_Heart_(1987)
325,Angustia (1987),1987,/wiki/Angustia_(1987)
326,Bad Taste (1987),1987,/wiki/Bad_Taste_(1987)
327,Berserker (1987),1987,/wiki/Berserker_(1987)
328,Blood Diner,1987,/wiki/Blood_Diner
329,Blood Rage (1987),1987,/wiki/Blood_Rage_(1987)
