Horror Wiki Index,char index,actor,character
51,4,Juanita Moore,Miranda 'Momma' Potter
51,5,Charles Kissinger,Dr. Hennigs
51,6,Elliott Moffitt,Russell Lang
51,7,Nathan Cook,Tafa Hassan
51,8,Nancy Lee Owens,Mrs. Wiggins
51,9,William P. Bradford,Dr. Rogers
51,10,Joann Holcomb,Lois
51,11,Claude Fulkerson,Benny
51,12,Bill Wlison,Dan
51,13,Charles Broaddus,Joe
51,14,Don Henderson,Flip
546,0,Pamela Gidley,Amy Harding/Alex Langdon
546,1,Simon Bossell,Marshall Clark
546,2,Valery Nikolaev,Uri Romanov
546,3,Helen Moulder,Mrs. Miller
546,4,Norman Forsey,Mr. Peterson
546,5,Merlin,Frankie
9,0,Vincent Price,Doctor Anton Phibes.
9,1,Peter Jeffrey,Inspector Trout
9,2,Virginia North,Vulnavia
9,3,Joseph Cotten,Doctor Vesalius
9,4,Terry Thomas,Doctor Longstreet
9,5,Sean Bury,Lem Vesalius
9,6,Susan Travers,Nurse Allen
9,7,David Hutcheson,Doctor Hedgepath
9,8,Edward Burnham,Doctor Dunwoody
9,9,Alex Scott,Doctor Hargreaves
9,10,Peter Gilmore,Doctor Kitaj
9,11,Maurice Kaufmann,Doctor Whitcombe
9,12,Derek Godfrey,Crow
9,13,Norman Jones,Sgt. Schenley
9,14,John Cater,Waverly
9,15,John Laurie,Darrow
9,16,Caroline Munro,Phibes's wife
295,0,Scott Davis,Cody
295,1,Jude Johnson,Sarah
295,2,Blue Thompson,Kelly
295,3,Brad McCormick,Ike
295,4,Suzy Meyer,Shawn
295,5,Rex Morton,Brother Fogg
295,6,Victoria Chaney,Receptionist
295,7,Gaye Bottoms,Girl in Cemetery
295,8,Van Connery,Dr. Russell
295,9,Bubba Moore,Hiram
969,0,Benjamin Walker,Abraham Lincoln
969,1,Lux Haney-Jardine,Young Abraham Lincoln
969,2,Dominic Cooper,Henry Sturges
969,3,Anthony Mackie,William Johnson
969,4,Curtis Harris,Young Will
969,5,Mary Elizabeth Winstead,Mary Todd Lincoln
969,6,Rufus Sewell,Adam
969,7,Marton Csokas,Jack Barts
969,8,Jimmi Simpson,Joshua Speed
969,9,Joseph Mawle,Thomas Lincoln
969,10,Robin McLeavy,Nancy Lincoln
969,11,Erin Wasson,Vadoma
969,12,John Rothman,Jefferson Davis
969,13,Cameron M. Brown,William Wallace Lincoln
969,14,Frank Brennan,Senator Jeb Nolan
969,15,Jaqueline Fleming,Harriet Tubman
969,16,Alan Tudyk,Stephen A. Douglas
80,0,Linda Miller,Catherine Spages
80,1,Mildred Clinton,Mrs. Tredoni
80,2,Paula E. Sheppard,Alice Spages
80,3,Niles McMaster,Dominick 'Dom' Spages
80,4,Jane Lowry,Aunt Annie DeLorenze
80,5,Rudolph Willrich,Father Tom
80,6,Michael Hardstark,Detective Spina
80,7,Alphonso DeNoble,Alphonso
80,8,Gary Allen,Jim DeLorenze
80,9,Brooke Shields,Karen Spages
80,10,Louisa Horton,Dr. Whitman
80,11,Tom Signorelli,Detective Brennan
80,12,Antonino Rocca,Funeral Director
80,13,Lillian Roth,Pathologist
80,14,Kathy Rich,Angela DeLorenze
134,0,Sigourney Weaver,Ellen Ripley
134,1,Tom Skerritt,Dallas
134,2,Veronica Cartwright,Lambert
134,3,Harry Dean Stanton,Brett
134,4,John Hurt,Kane
134,5,Ian Holm,Ash
134,6,Yaphet Kotto,Parker
134,7,Bolaji Badejo,Alien
134,8,Helen Horton,Mother
476,0,Sigourney Weaver,Ellen Ripley
476,1,Charles S. Dutton,Dillon
476,2,Charles Dance,Clemens
476,3,Paul McGann,Golic
476,4,Brian Glover,Andrews
476,5,Ralph Brown,Aaron
476,6,Danny Webb,Morse
476,7,Christopher John Fields,Rains
476,8,Holt McCallany,Junior
476,9,Lance Henriksen,Bishop II
476,10,Christopher Fairbanks,Murphy
1131,0,Michael Fassbender,David 8 and Walter One
1131,1,Katherine Waterston,Janet Daniels
1131,2,Billy Crudup,Chris Oram
1131,3,Danny McBride,Tennessee Faris
1131,4,Demián Bichir,Carl Lope
1131,5,Carmen Ejogo,Karine Oram
1131,6,Jussie Smollett,Ricks
1131,7,Callie Hernandez,Upworth
1131,8,Amy Seimetz,Maggie Faris
1131,9,Nathaniel Dean,Hallett
1131,10,Alexander England,Ankor
1131,11,Benjamin Rigby,Ledward
1131,12,Uli Latukefu,Cole
1131,13,Tess Haubrich,Sarah Rosenthal
1131,14,James Franco,Jacob Branson
1131,15,Goran D. Kleut and Andrew Crawford,Neomorph and Protomorph
128,0,Don Leifert,Ben Zachary
128,1,Tom Griffith,Sheriff Cinder
128,2,Richard Dyszel,Mayor Wicker
128,3,Mary Mertens,Edie Martin
128,4,Richard Geiwitz,Pete
128,5,George Stover,Steven
128,6,Eleanor Herman,Mary Jane Carter
128,7,Anne Frith,Dr. Ruth Sherman
547,0,Sigourney Weaver,Ellen Ripley
547,1,Winona Ryder,Annalee Call
547,2,Dominique Pinon,Vriess
547,3,Ron Perlman,Johner
547,4,Gary Dourdan,Christie
547,5,Michael Wincott,Frank Elgyn
547,6,Kim Flowers,Sabra Hillard
547,7,Dan Hedaya,General Martin Perez
547,8,J.E. Freeman,Dr. Mason Wren
547,9,Brad Dourif,Dr. Jonathan Gediman
547,10,Raymond Cruz,Vincent Distephano
547,11,Leland Orser,Larry Purvis
684,0,Sanaa Lathan,Alexa Woods
684,1,Raoul Bova,Sebastian de Rosa
684,2,Ewen Bremner,Graeme Miller
684,3,Colin Salmon,Maxwell Stafford
684,4,Lance Henriksen,Charles Bishop Weyland
684,5,Tommy Flanagan,Mark Verheiden
684,6,Joseph Rye,Joe Connors
684,7,Agathe de la Bolaye,Adele Rousseau
684,8,Carsten Norgaard,Rustin Quinn
684,9,Sam Troughton,Thomas Parkes
684,10,Ian Whyte,Predator
296,0,Sigourney Weaver,Ellen Ripley
296,1,Michael Biehn,Corporal Dwayne Hicks
296,2,Jenette Goldstein,Private Jenette Vasquez
296,3,Carrie Henn,"Rebecca ""Newt"" Jordan"
296,4,Lance Henriksen,Bishop
296,5,William Hope,Lieutenant William Gorman
296,6,Al Matthews,Sergeant Al Apone
296,7,Bill Paxton,Private William Hudson
296,8,Paul Reiser,Carter J. Burke
296,9,Mark Rolston,Private Mark Drake
296,10,Cynthia Dale Scott,Corporal Cynthia Dietrich
296,11,Ricco Ross,Private Frost
296,12,Collette Hiller,Corporal Ferro
296,13,Daniel Kash,Private Spunkmeyer
296,14,Tip Tipping,Private Crowe
296,15,Trevor Steedman,Private Weizrbowski
790,0,Steven Pasquale,Dallas Howard
790,1,Reiko Aylesworth,Kelly O´Brian
790,2,John Ortiz,Edward Morales
790,3,Johnny Lewis,Richard Howard
790,4,Ariel Gade,Molly O'Brian
790,5,Sam Trammell,Timothy O'Brian
790,6,Kristen Hager,Jesse
790,7,Ian Whyte,Predator ''Wolf''
790,8,Tom Woodruff Jr.,Predalien
790,9,Robert Joy,Colonel Stevens
790,10,Gina Holden,Carrie Adams
790,11,Chelah Horsdal,Darcy Benson
790,12,David Hornsby,Drew
790,13,Francoise Yip,Miss Yutani
745,0,Amber Heard,Mandy Lane
745,1,Michael Welch,Emmet
745,2,Anson Mount,Garth
745,3,Whitney Able,Chloe
745,4,Edwin Hodge,Bird
745,5,Aaron Himelstein,Red
745,6,Luke Grimes,Jake
745,7,Melissa Price,Marlin
147,0,Robert Forster,David Madison
147,1,Robin Riker,Marisa Kendall
147,2,Michael V. Gazzo,Chief Clark
147,3,Dean Jagger,Slade
147,4,Sydney Lassick,Luke Gutchel
147,5,Jack Carter,Mayor
147,6,Perry Lang,Officer Jim Kelly
147,7,Henry Silva,Col. Brock
147,8,Bart Braverman,Thomas Kemp
147,9,John Lisbon Wood,Mad Bomber
147,10,James Ingersoll,Arthur Helms
147,11,Robert Doyle,Bill Kendall
147,12,Patti Jerome,Mrs. Madeline Kendall
147,13,Robert Hammond,Wedding Guest
147,14,Angel Tompkins,Newswoman
147,15,Sue Lyon,ABC Newswoman
457,0,Joseph Bolonga,David Hodges
457,1,Dee Wallace,Christine Hodges
457,2,Richard Lynch,Hawk Hawkins
457,3,Woody Brown,Rich Harmon
457,4,Holly Gagnier,Sheri Anderson
457,5,Bill Daily,Mayor Anderson
457,6,Steve Railsback,Vincent Brown
457,7,Brock Peters,Chief Speed
457,8,Trevor Eyster,J.J. Hodges
457,9,Voyo Goric,Carmen
708,0,Christian Slater,Edward Carnby
708,1,Tara Reid,Aline Cedrac
708,2,Stephen Dorff,Commander Richard Burke
708,3,Frank C. Turner,Agent Fischer
708,4,Matthew Walker,Professor Lionel Hudgens
708,5,Will Sanderson,Agent Miles
708,6,Mike Dopud,Agent Turner
708,7,Francoise Yip,Agent Cheung
708,8,Karin Konoval,Sister Clara
