Death List Index,Title,Death List URL,Stripped Title,Year
138,Coraline,/wiki/Coraline,coraline,
139,Corona Zombies,/wiki/Corona_Zombies,corona zombies,
140,Corpse Party Tortured Souls,/wiki/Corpse_Party_Tortured_Souls,corpse party tortured souls,
141,Countdown,/wiki/Countdown,countdown,
142,Crawl,/wiki/Crawl,crawl,
988,The Crazies,/wiki/The_Crazies,crazies,
644,The Crazies,/wiki/The_Crazies,crazies,
143,Creature 1985,/wiki/Creature_1985,creature,1985
144,Creep,/wiki/Creep,creep,
145,Creepshow,/wiki/Creepshow,creepshow,
146,Criminally Insane,/wiki/Criminally_Insane,criminally insane,
147,Crimson Peak,/wiki/Crimson_Peak,crimson peak,
148,Critters,/wiki/Critters,critters,
149,Crocodile Fury,/wiki/Crocodile_Fury,crocodile fury,
150,Cthulhu Mansion,/wiki/Cthulhu_Mansion,cthulhu mansion,
151,Cthulhu Mythos,/wiki/Cthulhu_Mythos,cthulhu mythos,
152,Cube,/wiki/Cube,cube,
153,Cujo,/wiki/Cujo,cujo,
154,Cut and Run,/wiki/Cut_and_Run,cut and run,
155,Cutting Glass,/wiki/Cutting_Glass,cutting glass,
156,Daddy's Girl,/wiki/Daddy%27s_Girl,daddys girl,
157,Dahmer vs Gacy,/wiki/Dahmer_vs_Gacy,dahmer vs gacy,
158,Dance of the Dead,/wiki/Dance_of_the_Dead,dance of dead,
159,Dark Bottom (novel),/wiki/Dark_Bottom_(novel),dark bottom novel,
160,Dark Island,/wiki/Dark_Island,dark island,
161,Dark Universe,/wiki/Dark_Universe,dark universe,
162,Dark Waters,/wiki/Dark_Waters,dark waters,
989,The Darkest Hour,/wiki/The_Darkest_Hour,darkest hour,
645,The Darkest Hour,/wiki/The_Darkest_Hour,darkest hour,
163,David Guetta - She Wolf (Falling To Pieces) ft. Sia,/wiki/David_Guetta_-_She_Wolf_(Falling_To_Pieces)_ft._Sia,david guetta she wolf falling to pieces ft sia,
164,Dawn of the Dead,/wiki/Dawn_of_the_Dead,dawn of dead,
165,Day of the Dead,/wiki/Day_of_the_Dead,day of dead,
166,Dead Alive/Braindead,/wiki/Dead_Alive/Braindead,dead alive braindead,
990,The Dead Don’t Die,/wiki/The_Dead_Don%E2%80%99t_Die,dead don t die,
646,The Dead Don’t Die,/wiki/The_Dead_Don%E2%80%99t_Die,dead don t die,
167,Dead Heat,/wiki/Dead_Heat,dead heat,
168,Dead Meat,/wiki/Dead_Meat,dead meat,
169,Dead Meat Killcounts,/wiki/Dead_Meat_Killcounts,dead meat killcounts,
170,Dead Silence,/wiki/Dead_Silence,dead silence,
171,Dead Snow,/wiki/Dead_Snow,dead snow,
172,Dead Space Films,/wiki/Dead_Space_Films,dead space films,
991,The Dead Zone,/wiki/The_Dead_Zone,dead zone,
647,The Dead Zone,/wiki/The_Dead_Zone,dead zone,
173,Deadly Blessing,/wiki/Deadly_Blessing,deadly blessing,
174,Deadly Friend,/wiki/Deadly_Friend,deadly friend,
648,The Deadly Spawn,/wiki/The_Deadly_Spawn,deadly spawn,
992,The Deadly Spawn,/wiki/The_Deadly_Spawn,deadly spawn,
175,Deat Heat,/wiki/Deat_Heat,deat heat,
176,Death Note (2017),/wiki/Death_Note_(2017),death note,2017
177,Death Nurse,/wiki/Death_Nurse,death nurse,
178,Death Proof,/wiki/Death_Proof,death proof,
179,Deep in the Woods,/wiki/Deep_in_the_Woods,deep in woods,
180,Deep Red,/wiki/Deep_Red,deep red,
181,Deep Rising,/wiki/Deep_Rising,deep rising,
182,Deform,/wiki/Deform,deform,
183,Deformed Gecko,/wiki/Deformed_Gecko,deformed gecko,
184,Deliverance,/wiki/Deliverance,deliverance,
185,Demonic Toys,/wiki/Demonic_Toys,demonic toys,
186,Demons,/wiki/Demons,demons,
649,The Dentist,/wiki/The_Dentist,dentist,
993,The Dentist,/wiki/The_Dentist,dentist,
650,The Depression Trilogy,/wiki/The_Depression_Trilogy,depression trilogy,
994,The Depression Trilogy,/wiki/The_Depression_Trilogy,depression trilogy,
995,The Descent,/wiki/The_Descent,descent,
651,The Descent,/wiki/The_Descent,descent,
187,Detention,/wiki/Detention,detention,
188,Devil,/wiki/Devil,devil,
189,Devil Times Five,/wiki/Devil_Times_Five,devil times five,
190,Devilman,/wiki/Devilman,devilman,
191,Disturbia,/wiki/Disturbia,disturbia,
192,Dog Soldiers,/wiki/Dog_Soldiers,dog soldiers,
193,Doghouse,/wiki/Doghouse,doghouse,
200,Donnie Darko,/wiki/Donnie_Darko,donnie darko,
194,Don't Blink,/wiki/Don%27t_Blink,dont blink,
195,Don't Breathe,/wiki/Don%27t_Breathe,dont breathe,
196,Don't Go In the House,/wiki/Don%27t_Go_In_the_House,dont go in house,
197,Don't Go In The Woods,/wiki/Don%27t_Go_In_The_Woods,dont go in woods,
198,Don't Go To Sleep,/wiki/Don%27t_Go_To_Sleep,dont go to sleep,
199,Don't Open Till Christmas,/wiki/Don%27t_Open_Till_Christmas,dont open till christmas,
201,Doom Asylum,/wiki/Doom_Asylum,doom asylum,
202,Downrage,/wiki/Downrage,downrage,
203,Dracula,/wiki/Dracula,dracula,
206,Dracula 3D,/wiki/Dracula_3D,dracula 3d,
204,Dracula (Hammer),/wiki/Dracula_(Hammer),dracula hammer,
205,Dracula (Wes Craven),/wiki/Dracula_(Wes_Craven),dracula wes craven,
207,Drag Me to Hell,/wiki/Drag_Me_to_Hell,drag me to hell,
208,Dream Home,/wiki/Dream_Home,dream home,
209,Dreamcatcher,/wiki/Dreamcatcher,dreamcatcher,
211,Drive-In Massacre,/wiki/Drive-In_Massacre,drive in massacre,
210,Drive Thru,/wiki/Drive_Thru,drive thru,
212,Dying Breed,/wiki/Dying_Breed,dying breed,
