,Title,Year,Plot,Director(s),Star(s),Decade
10359,It Cuts Deep,2020,"While on Christmas vacation, a young couple contemplates their future together. Ashley is interested in getting married and having kids which terrifies Sam. When the more attractive and ...                See full summary »",Nicholas Santos,"Charles Gould, Quinn Jackson, John Anderson, Chloe Roe",2020
10422,Toys of Terror,2020,"Just before Christmas, young Zoe, her brother Franklin and their family move into a secluded mansion with a dark past. While the adults focus on renovating the place, the bored kids find a ...                See full summary »",Nicholas Verso,"Kyana Teresa, Georgia Waters, Verity Marks, Dayo Ade",2020
10559,Baby Girl,2020,"On Christmas morning, Chloe Parker opens a present from her parents that will change her life forever: an antique teddy bear possessed by an evil spirit.",Alan Lowe,"Miracle Davis, Tony Walker, Patrice D. Philips, Jeff McKenzie",2020
10570,The Last Kiss,2020,A traditional vampire Christmas horror comedy.,Peter Leon,"Peter Leon, Lynn Broussard, Carol Cardenas, Jamie Eldredge",2020
10732,Tunnel To The Inferno,2021,"Exclusively shot on iPhone ""Tunnel to the Inferno"" tells the story of a group of teens with extreme past traumas. While getting ready for a Christmas party, things turn violent when one of ...                See full summary »",Mason Scott,"Noel Jason Scott, Ally Vanderwest, Mason Scott, Cheyenne Scott",2020
10926,Red Snow,2021,A struggling vampire romance novelist must defend herself against real-life vampires during Christmas in Lake Tahoe.,Sean Nichols Lynch,"Dennice Cisneros, Nico Bellamy, Laura Kennon, Vernon Wells",2020
11508,Santaria,,"When a young boy immigrant takes refuge in America just before Christmas, the most wonderful time of the year accidentally conjures up the wrong kind of spirit.",Rollyn Stafford,,0
11514,Family Trip,,"One year after his pregnant sister walks out into ongoing traffic. Ben Mason, a drugged-out brother, sets out to uncover the reason for her suicide during a week-long Christmas vacation at the 100-year old family farmhouse.",Rollyn Stafford,,0
11575,Christmas Slasher,,"When a couple of college kids decide to go on a hunting trip for their Christmas break, they get more than they bargained for when their past comes back to haunt them. An undead reindeer ...                See full summary »",Destiny Soria,"Nicholas Brendon, Felissa Rose, Destiny Soria, Lloyd Kaufman",0
11821,Piglady,,"A group of friends while on a Christmas vacation to their family cabin in southern Oregon, learn of a local rumor of an antisocial woman who allegedly murders people and feeds her victims to pigs.",Adam Fair,"Karri Davis, Alicia Karami, Geno Romo, Jeffery Hunter",0
